variable,x,y
wc2.0_bio_10m_12,-701.1,5.064162178314291E-5
wc2.0_bio_10m_12,-684.2736,5.064162178314291E-5
wc2.0_bio_10m_12,-667.4472000000001,5.064162178314291E-5
wc2.0_bio_10m_12,-650.6208,5.064162178314291E-5
wc2.0_bio_10m_12,-633.7944,5.064162178314291E-5
wc2.0_bio_10m_12,-616.9680000000001,5.064162178314291E-5
wc2.0_bio_10m_12,-600.1416,5.064162178314291E-5
wc2.0_bio_10m_12,-583.3152,5.064162178314291E-5
wc2.0_bio_10m_12,-566.4888,5.064162178314291E-5
wc2.0_bio_10m_12,-549.6624,5.064162178314291E-5
wc2.0_bio_10m_12,-532.836,5.064162178314291E-5
wc2.0_bio_10m_12,-516.0096,5.064162178314291E-5
wc2.0_bio_10m_12,-499.1832,5.064162178314291E-5
wc2.0_bio_10m_12,-482.3568,5.064162178314291E-5
wc2.0_bio_10m_12,-465.5304,5.064162178314291E-5
wc2.0_bio_10m_12,-448.704,5.064162178314291E-5
wc2.0_bio_10m_12,-431.8776,5.064162178314291E-5
wc2.0_bio_10m_12,-415.0512,5.064162178314291E-5
wc2.0_bio_10m_12,-398.2248,5.064162178314291E-5
wc2.0_bio_10m_12,-381.3984,5.064162178314291E-5
wc2.0_bio_10m_12,-364.572,5.064162178314291E-5
wc2.0_bio_10m_12,-347.7456,5.064162178314291E-5
wc2.0_bio_10m_12,-330.9192,5.064162178314291E-5
wc2.0_bio_10m_12,-314.0928,5.064162178314291E-5
wc2.0_bio_10m_12,-297.2664,5.064162178314291E-5
wc2.0_bio_10m_12,-280.43999999999994,5.064162178314291E-5
wc2.0_bio_10m_12,-263.6136,5.064162178314291E-5
wc2.0_bio_10m_12,-246.78719999999998,5.064162178314291E-5
wc2.0_bio_10m_12,-229.96079999999995,5.064162178314291E-5
wc2.0_bio_10m_12,-213.13439999999997,5.064162178314291E-5
wc2.0_bio_10m_12,-196.308,5.064162178314291E-5
wc2.0_bio_10m_12,-179.48159999999996,5.064162178314291E-5
wc2.0_bio_10m_12,-162.65519999999992,5.064162178314291E-5
wc2.0_bio_10m_12,-145.8288,5.064162178314291E-5
wc2.0_bio_10m_12,-129.00239999999997,5.064162178314291E-5
wc2.0_bio_10m_12,-112.17600000000004,5.064162178314291E-5
wc2.0_bio_10m_12,-95.34960000000001,5.064162178314291E-5
