"origName","decimalLongitude","decimalLatitude","year","database","acceptName","name","longitude","latitude","ID"
"Paspalum dilatatum",20.22278,-34.6697,1969,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.22278,-34.6697,41
"Paspalum dilatatum",20.2227802276611,-34.6697196960449,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.2227802276611,-34.6697196960449,42
"Paspalum dilatatum",20.336669921875,-28.5908298492432,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.336669921875,-28.5908298492432,43
"Paspalum dilatatum",20.33667,-28.5908,1961,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.33667,-28.5908,44
"Paspalum dilatatum",20.3416690826416,-28.5816707611084,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.3416690826416,-28.5816707611084,45
"Paspalum dilatatum",20.34167,-28.5816,1956,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.34167,-28.5816,46
"Paspalum dilatatum",20.44083,-34.0502,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.44083,-34.0502,47
"Paspalum dilatatum",20.4408302307129,-34.0502815246582,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.4408302307129,-34.0502815246582,48
"Paspalum dilatatum",20.5052795410156,-34.0316696166992,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.5052795410156,-34.0316696166992,49
"Paspalum dilatatum",20.50528,-34.0316,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.50528,-34.0316,50
"Paspalum dilatatum",20.55833,-32.8588,1965,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.55833,-32.8588,51
"Paspalum dilatatum",20.5583305358887,-32.8588905334473,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.5583305358887,-32.8588905334473,52
"Paspalum dilatatum",20.60861,-34.2588,1968,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.60861,-34.2588,53
"Paspalum dilatatum",20.6086101531982,-34.2588882446289,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.6086101531982,-34.2588882446289,54
"Paspalum dilatatum",20.63972,-34.0044,1951,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.63972,-34.0044,55
"Paspalum dilatatum",20.639720916748,-34.0044403076172,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.639720916748,-34.0044403076172,56
"Paspalum dilatatum",20.69556,-34.4225,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.69556,-34.4225,57
"Paspalum dilatatum",20.6955604553223,-34.4225006103516,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.6955604553223,-34.4225006103516,58
"Paspalum dilatatum",20.81167,-34.0272,1968,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.81167,-34.0272,59
"Paspalum dilatatum",20.8116703033447,-34.0272216796875,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.8116703033447,-34.0272216796875,60
"Paspalum dilatatum",20.8330593109131,-34.040828704834,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.8330593109131,-34.040828704834,61
"Paspalum dilatatum",20.83306,-34.0408,1968,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.83306,-34.0408,62
"Paspalum dilatatum",20.99444,-34.2544,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.99444,-34.2544,63
"Paspalum dilatatum",20.9944400787354,-34.2544403076172,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",20.9944400787354,-34.2544403076172,64
"Paspalum dilatatum",21.02139,-34.1044,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.02139,-34.1044,65
"Paspalum dilatatum",21.021390914917,-34.1044387817383,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.021390914917,-34.1044387817383,66
"Paspalum dilatatum",21.25806,-34.1044,1968,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.25806,-34.1044,67
"Paspalum dilatatum",21.2580604553223,-34.1044387817383,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.2580604553223,-34.1044387817383,68
"Paspalum dilatatum",21.2847194671631,-34.0588912963867,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.2847194671631,-34.0588912963867,69
"Paspalum dilatatum",21.28472,-34.0588,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.28472,-34.0588,70
"Paspalum dilatatum",21.30083,-34.1636,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",21.30083,-34.1636,71
