origName,decimalLongitude,decimalLatitude,year,database,acceptName
Paspalum dilatatum,-122.687333,37.937,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.6865,37.9344,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.65352,37.922237,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.64233,37.90063,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.61232,37.96487,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.612133,37.959452,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.606095,37.957317,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.536667,39.7822219990721,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.52017,38.440245,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.48025,37.769097,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.4799,37.7692,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.470959,37.766883,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.445788949206,38.55933429667,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.44578894907,38.5593242968754,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.438163,37.454637,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.40693,40.446903,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.397952,37.664361,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.37889,40.44972,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.361299,37.166407,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.35644,40.58063,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.3027,37.89871,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.289137,37.850945,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.2803,38.39261,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.2682,37.7791,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.264722,38.909444,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.264674,38.909377,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.26348,37.807687,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.26256,37.868286,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.26068,37.807895,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.258993,37.792204,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.244671,37.401836,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.204186,39.643033,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.19583,39.645607,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.19049,39.386425,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.162222,40.3949999990687,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.133572,38.025903,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.13098,37.993927,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.11808,37.7666,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.06193,37.08398,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.05772,37.595898,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.053425,37.656668,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.049722,40.060556,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.044047,38.506931,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.007253792319,39.6406719214109,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.0065,39.6409,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.00646,39.640865,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-122.00472,38.26528,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.986667,39.5672219990734,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.971944,39.9133329990713,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.968273362075,38.2853909374173,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.954722,39.6080559990731,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.942492,36.571555,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.932645,40.0939799990703,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.91278,37.88167,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.894129,36.602996,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.8919,39.4614,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.859703,37.325375,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.846111,39.7299999990724,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.844444,39.7305559990724,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.843056,39.7286109990724,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.839722,39.7338889990724,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.83958,37.29436,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.833056,39.7269439990724,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.81195,39.713055,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.811944,39.7130559990725,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.80862,39.745834,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.808611,39.745833,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.808583,39.745694,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.80443,38.41644,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.8,39.7619439990722,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.77615,36.90625,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.771154,39.522917,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.740985,36.835027,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.7344,39.5909,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.732484,39.465023,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.72528,40.183334,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.725278,40.2,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.723335,39.809723,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.723333,39.809722,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.723194,39.80975,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.716483886658,39.4165135325482,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.71571,39.41666,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.71358,39.41819,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.6975,38.54306,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.696389,39.419722,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.69,39.41,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.687778,39.4908329990739,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.58336,39.15432,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.572222,39.7144439990725,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.54072,38.36764,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.540556,39.5966669990732,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.5361,39.4997,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.516609,39.202945,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.511111,37.908889,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.50861,39.52917,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.488611,39.3511109990747,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.488611,39.351111,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.48139,35.95361,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.480833,39.3466669990748,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.468889,39.7227779990724,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.46021,38.55072,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.427721692581,38.2664987517603,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.39475,39.847528,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.394722,39.8475,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.39472,39.8475,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.389167,39.8577779990716,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.380352,38.582936,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.37694,38.86556,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.34,38.61,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.338115,38.762349,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.324685,38.601705,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.307015,38.62005,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.304,35.708335,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.302617,35.608717,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.296252,38.146987,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.28722,38.92639,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.28694,38.75222,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.285152,39.932466,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-121.263194,39.063466,NA,GBIF,Paspalum dilatatum Poir.
