Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.82212E-6,0.000282212,0.024199259,1,0,0
1.6173E-5,0.001899512,0.130977626,0.999922744,0,0.001226994
1.7174E-5,0.003616915,0.138496029,0.999845488,0,0.001226994
1.7174E-5,0.221727036,0.138496029,0.990033993,0.003988954,0.007361963
1.7174E-5,0.300727567,0.138496083,0.986480222,0.003988954,0.007361963
1.7174E-5,0.400337015,0.138496197,0.981999382,0.003988954,0.007361963
1.71741E-5,0.50166395,0.138496326,0.977441286,0.003988954,0.007361963
1.71741E-5,0.601273568,0.138496444,0.972960445,0.004295796,0.007361963
1.71741E-5,0.716340037,0.138496712,0.967784302,0.004295796,0.007361963
1.71741E-5,0.750688284,0.138496801,0.966239184,0.004295796,0.007361963
1.71741E-5,0.800493273,0.138496887,0.963998764,0.004295796,0.007361963
1.71742E-5,0.90010344,0.138497268,0.959517923,0.004295796,0.007361963
1.71742E-5,1.001431341,0.138497632,0.954959827,0.004295796,0.007361963
1.71743E-5,1.101042184,0.138498235,0.950478986,0.004602639,0.007361963
1.71745E-5,1.200653652,0.138499232,0.945998146,0.004602639,0.007361963
1.71746E-5,1.300265787,0.138500015,0.941517305,0.004602639,0.007361963
1.71747E-5,1.40159616,0.138501174,0.936959209,0.004909481,0.007361963
1.71749E-5,1.501209978,0.13850265,0.932478368,0.004909481,0.007361963
1.71755E-5,1.750250148,0.13850711,0.921276267,0.005216324,0.007361963
1.71763E-5,2.001018058,0.138513045,0.90999691,0.005523167,0.007361963
1.71775E-5,2.253518207,0.13852198,0.898640297,0.006136852,0.008588957
1.71791E-5,2.500885368,0.138534241,0.887515451,0.006750537,0.011042945
1.71813E-5,2.751714898,0.138550422,0.876236094,0.007671065,0.013496933
1.71842E-5,3.000864499,0.138571803,0.865033993,0.009205278,0.018404908
1.71882E-5,3.250061815,0.138602312,0.853831891,0.010125805,0.019631902
1.71946E-5,3.501052839,0.13864976,0.842552534,0.013194231,0.023312883
1.72027E-5,3.760752853,0.138710578,0.830886897,0.01779687,0.028220859
1.72181E-5,4.001690886,0.138825207,0.820071075,0.019944768,0.029447853
1.7246E-5,4.251546991,0.139033783,0.808868974,0.023013194,0.030674847
1.72981E-5,4.500209418,0.139423023,0.797744129,0.029456889,0.033128834
1.74803E-5,4.750356097,0.140783402,0.786619283,0.032218472,0.039263804
1.80191E-5,5.000881377,0.144792749,0.775726205,0.034980055,0.040490798
1.92201E-5,5.250603144,0.153661714,0.765296663,0.045719546,0.046625767
2.02192E-5,5.500710421,0.160969957,0.755485167,0.047253759,0.046625767
2.15921E-5,5.751221606,0.170909542,0.746291718,0.048481129,0.047852761
2.25065E-5,6.001813641,0.177463746,0.737561805,0.051549555,0.05398773
2.34749E-5,6.251470473,0.18434918,0.729218171,0.052776925,0.055214724
2.46677E-5,6.50231493,0.192750615,0.72118356,0.056459037,0.060122699
2.5891E-5,6.750747684,0.201277133,0.713535229,0.059527462,0.067484663
2.6832E-5,7.000995477,0.20777499,0.706118665,0.061061675,0.068711656
2.7816E-5,7.251628311,0.214512854,0.699011125,0.062595888,0.073619632
2.88051E-5,7.500151443,0.221227764,0.692212608,0.066584842,0.078527607
2.98219E-5,7.752163294,0.228071285,0.685568603,0.069653268,0.078527607
3.02363E-5,8.001070664,0.23084283,0.67907911,0.071187481,0.079754601
3.10241E-5,8.250777183,0.236084804,0.67289864,0.077324333,0.084662577
3.19932E-5,8.500790146,0.242483646,0.666795426,0.079779073,0.084662577
3.30536E-5,8.75045595,0.249424459,0.660846724,0.081313286,0.084662577
3.38712E-5,9.001837694,0.254732517,0.654975278,0.082847499,0.087116564
3.43514E-5,9.252746422,0.257832181,0.6493356,0.08407487,0.088343558
3.53553E-5,9.50094537,0.264271818,0.643850433,0.08652961,0.090797546
3.53604E-5,9.751982248,0.264304116,0.638365266,0.08652961,0.09202454
3.53704E-5,10.003069675,0.264368252,0.632880099,0.087450138,0.094478528
3.53962E-5,10.250744227,0.264532653,0.627472188,0.090825407,0.095705521
3.54684E-5,10.502249549,0.264993469,0.621987021,0.094507518,0.095705521
3.56664E-5,10.751029826,0.266255812,0.61657911,0.097575944,0.101840491
3.6367E-5,11.002728677,0.270704618,0.611171199,0.102485425,0.109202454
3.65576E-5,11.251253284,0.271910104,0.6059178,0.102485425,0.109202454
3.66188E-5,11.503657517,0.27229652,0.600587145,0.10309911,0.109202454
3.67384E-5,11.753017236,0.273051806,0.595333745,0.108008592,0.109202454
3.76685E-5,12.001537302,0.278897096,0.590157602,0.11138386,0.112883436
3.77902E-5,12.250866869,0.279658815,0.585058714,0.113531758,0.112883436
3.78782E-5,12.509425008,0.280208843,0.579728059,0.116907027,0.119018405
3.82873E-5,12.751421629,0.282760077,0.574860939,0.118134397,0.121472393
3.9041E-5,13.003716275,0.2874372,0.569839308,0.119361767,0.125153374
3.91497E-5,13.253828978,0.288109597,0.564894932,0.121509666,0.128834356
3.97637E-5,13.50202308,0.291893581,0.560027812,0.124578091,0.133742331
4.03357E-5,13.75155218,0.295400445,0.555237948,0.125191777,0.134969325
4.05619E-5,14.00215598,0.296782628,0.550448084,0.12672599,0.134969325
4.15617E-5,14.26818523,0.302859007,0.545426452,0.131942314,0.138650307
4.16769E-5,14.501391785,0.303556136,0.541100124,0.135010739,0.141104294
4.21057E-5,14.756610887,0.306143431,0.53631026,0.137158638,0.144785276
4.29912E-5,15.003217865,0.311456263,0.531906675,0.143602332,0.149693252
4.30771E-5,15.252754288,0.311969287,0.527425834,0.14452286,0.150920245
4.33404E-5,15.503462252,0.313539948,0.522944994,0.149432341,0.157055215
4.43745E-5,15.754212344,0.319674636,0.518541409,0.150046026,0.157055215
4.44537E-5,16.002865303,0.320141684,0.51421508,0.150966554,0.157055215
4.4733E-5,16.252442467,0.321788075,0.509888752,0.153114452,0.159509202
4.56496E-5,16.500296823,0.327162804,0.505639679,0.156796563,0.163190184
4.58367E-5,16.752201684,0.328254495,0.501390606,0.159251304,0.163190184
4.60651E-5,17.000257789,0.329584991,0.497218789,0.163853943,0.165644172
4.67899E-5,17.250797309,0.333789918,0.493046972,0.165694998,0.165644172
4.72792E-5,17.500855883,0.336613206,0.48895241,0.167536054,0.166871166
4.76072E-5,17.752009902,0.338499322,0.484857849,0.169990795,0.173006135
4.8716E-5,18.002257724,0.344835834,0.480840544,0.173059221,0.175460123
4.87865E-5,18.250847542,0.345236648,0.476900494,0.174900276,0.176687117
4.92916E-5,18.50055512,0.348100994,0.472960445,0.176434489,0.180368098
5.02273E-5,18.750036216,0.353374583,0.469097651,0.17888923,0.181595092
5.03234E-5,19.001336254,0.353913492,0.465234858,0.1801166,0.181595092
5.07214E-5,19.264026581,0.356141893,0.461217553,0.183185026,0.182822086
5.16901E-5,19.509346977,0.361533191,0.457509271,0.185332924,0.186503067
5.18102E-5,19.752700851,0.362198404,0.453878245,0.186560295,0.186503067
5.2024E-5,20.001801683,0.363380972,0.450169963,0.188708193,0.188957055
5.27299E-5,20.25306509,0.367269531,0.446461681,0.191776619,0.195092025
5.34051E-5,20.503561353,0.370967058,0.442830655,0.193003989,0.197546012
5.36913E-5,20.755107901,0.372527996,0.439199629,0.194231359,0.197546012
5.43652E-5,21.003441043,0.37618765,0.435645859,0.1966861,0.201226994
5.49724E-5,21.250471439,0.379467189,0.432169345,0.197606628,0.202453988
5.51912E-5,21.503812126,0.380644513,0.428615575,0.198220313,0.207361963
5.56432E-5,21.753070524,0.383069709,0.425139061,0.201595581,0.209815951
5.66038E-5,22.005807314,0.388192407,0.421662546,0.202209267,0.211042945
5.68072E-5,22.255143617,0.389271546,0.418263288,0.204357165,0.217177914
5.74982E-5,22.500405517,0.392924176,0.414941286,0.205891378,0.218404908
5.83093E-5,22.750160538,0.397183148,0.411619283,0.208039276,0.219631902
5.85242E-5,23.001261539,0.398306762,0.408297281,0.211107702,0.224539877
5.9018E-5,23.25382889,0.400880386,0.404975278,0.21202823,0.225766871
5.9993E-5,23.503990803,0.405929292,0.401730532,0.215710341,0.228220859
6.00558E-5,23.750073776,0.406253035,0.398563041,0.217551396,0.228220859
6.05525E-5,24.003173913,0.408807504,0.395318294,0.218471924,0.23190184
6.17383E-5,24.253785661,0.414861519,0.392150803,0.22154035,0.236809816
6.18618E-5,24.500870922,0.415488302,0.389060569,0.222154035,0.236809816
6.23318E-5,24.755328167,0.417868331,0.385893078,0.223688248,0.236809816
6.32123E-5,25.000141586,0.422300382,0.382880099,0.226756674,0.239263804
6.3547E-5,25.254160034,0.423976688,0.379789864,0.227984044,0.239263804
6.36948E-5,25.502268673,0.424714783,0.376776885,0.230131942,0.239263804
6.41043E-5,25.751283412,0.426756013,0.373763906,0.231666155,0.241717791
6.53291E-5,26.003380246,0.432818355,0.370750927,0.23227984,0.244171779
6.53813E-5,26.251698962,0.433075316,0.367815204,0.234427739,0.244171779
6.55659E-5,26.500480847,0.433982945,0.364879481,0.235961952,0.244171779
6.6125E-5,26.750581312,0.436723209,0.361943758,0.238723535,0.250306748
6.71792E-5,27.004272661,0.441854115,0.359008035,0.239950905,0.250306748
6.72845E-5,27.25297063,0.4423641,0.356149567,0.240257748,0.251533742
6.74904E-5,27.502312561,0.443359892,0.3532911,0.242712488,0.252760736
6.81541E-5,27.75317028,0.446557582,0.350432633,0.245780914,0.255214724
6.90713E-5,28.001104161,0.450946277,0.347651422,0.2463946,0.256441718
6.93734E-5,28.250180851,0.452384263,0.34487021,0.247315127,0.256441718
6.99929E-5,28.500887858,0.455321199,0.342088999,0.249156183,0.261349693
7.09681E-5,28.754821258,0.459912323,0.339307787,0.250997238,0.265030675
7.10229E-5,29.010380816,0.460169352,0.336526576,0.253758822,0.266257669
7.13174E-5,29.273776561,0.46154751,0.333668109,0.256520405,0.268711656
7.19482E-5,29.502917874,0.464487635,0.331195921,0.25713409,0.26993865
7.29302E-5,29.756879553,0.46903307,0.328491965,0.259281988,0.273619632
7.31373E-5,30.005126408,0.469986654,0.325865266,0.259588831,0.273619632
7.3457E-5,30.254232431,0.471455724,0.323238566,0.263270942,0.274846626
7.4872E-5,30.506260359,0.477907738,0.320611867,0.26419147,0.277300613
7.50774E-5,30.753638703,0.478837663,0.318062423,0.265111998,0.278527607
7.5783E-5,31.00242054,0.482020169,0.315512979,0.266032525,0.279754601
7.6914E-5,31.254918696,0.487080486,0.312963535,0.268180423,0.282208589
7.70725E-5,31.50125544,0.487785759,0.310491347,0.268794109,0.283435583
7.76854E-5,31.756376692,0.490503673,0.307941904,0.271862535,0.288343558
