Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.97511E-6,0.000397511,0.034206013,1,0,0
5.85167E-6,0.000982678,0.049944878,0.999922756,0,0
1.78533E-5,0.002768011,0.144712741,0.999845512,0.000306843,0
1.78533E-5,0.229505382,0.144712741,0.990035532,0.004909481,0.003680982
1.78533E-5,0.302704073,0.144712786,0.986868531,0.004909481,0.003680982
1.78534E-5,0.400897517,0.14471291,0.982620114,0.004909481,0.003680982
1.78534E-5,0.500876373,0.144713034,0.978294454,0.004909481,0.003680982
1.78534E-5,0.600855321,0.144713155,0.973968793,0.004909481,0.004907975
1.78534E-5,0.700834392,0.144713371,0.969643133,0.004909481,0.004907975
1.78534E-5,0.750824003,0.144713521,0.967480303,0.004909481,0.004907975
1.78535E-5,0.800813652,0.144713605,0.965317473,0.004909481,0.004907975
1.78535E-5,0.900793103,0.14471394,0.960991812,0.004909481,0.004907975
1.78536E-5,1.000772864,0.144714349,0.956666152,0.004909481,0.004907975
1.78536E-5,1.100752924,0.144714927,0.952340491,0.004909481,0.004907975
1.78537E-5,1.200733525,0.144715812,0.948014831,0.004909481,0.006134969
1.78539E-5,1.300714827,0.144716666,0.94368917,0.004909481,0.006134969
1.7854E-5,1.400696815,0.144717712,0.93936351,0.004909481,0.007361963
1.78542E-5,1.50067965,0.144718906,0.93503785,0.004909481,0.007361963
1.78548E-5,1.750641808,0.144723385,0.924223698,0.005216324,0.007361963
1.78555E-5,2.000613632,0.144728587,0.913409547,0.005523167,0.007361963
1.78566E-5,2.25595495,0.144737181,0.902363664,0.006443694,0.007361963
1.78581E-5,2.50060057,0.144748064,0.891781245,0.00705738,0.007361963
1.78601E-5,2.750627104,0.144763364,0.880967094,0.008898435,0.008588957
1.78629E-5,3.000687278,0.144784512,0.870152943,0.010739491,0.008588957
1.78663E-5,3.250789308,0.144809883,0.859338792,0.011966861,0.008588957
1.78714E-5,3.500950684,0.144847645,0.848524641,0.013501074,0.008588957
1.78786E-5,3.751197811,0.144901844,0.83771049,0.017490028,0.013496933
1.78899E-5,4.001570043,0.144986875,0.826896339,0.021785824,0.017177914
1.79098E-5,4.250355162,0.14513556,0.816159431,0.023626879,0.018404908
1.79434E-5,4.501315719,0.145386842,0.80534528,0.028843203,0.020858896
1.80213E-5,4.751147031,0.145969686,0.794608373,0.032525315,0.023312883
1.83005E-5,5.001259483,0.148055047,0.78394871,0.036821111,0.023312883
1.90866E-5,5.26957831,0.153898217,0.772825583,0.043264805,0.034355828
1.99865E-5,5.50134433,0.160539187,0.763633555,0.046946916,0.041717791
2.14757E-5,5.751048019,0.171413239,0.754287038,0.048787972,0.041717791
2.23584E-5,6.000781899,0.177792809,0.74548123,0.050322185,0.041717791
2.3322E-5,6.251267115,0.184700291,0.737061641,0.054311138,0.044171779
2.42594E-5,6.501978041,0.191364729,0.728951027,0.055538509,0.044171779
2.53462E-5,6.75053683,0.199023048,0.721226634,0.05922062,0.046625767
2.6172E-5,7.00026101,0.204793087,0.713733972,0.063209573,0.051533742
2.71776E-5,7.251148476,0.211764458,0.706473042,0.064436944,0.05398773
2.84834E-5,7.501289557,0.220725027,0.699521088,0.066584842,0.05398773
2.9464E-5,7.751557618,0.227386726,0.692800865,0.071187481,0.058895706
3.04786E-5,8.001946515,0.234220296,0.686312374,0.073949064,0.060122699
3.09518E-5,8.252612834,0.237386118,0.679978372,0.075176434,0.060122699
3.15867E-5,8.500851441,0.241613618,0.673876101,0.081313286,0.068711656
3.26056E-5,8.751220416,0.248349678,0.667851074,0.082233814,0.06993865
3.36848E-5,9.001094626,0.255418525,0.661980535,0.083461184,0.07607362
