variable,x,y
wc2.0_bio_10m_12,-698.4,1.5286385314539075E-4
wc2.0_bio_10m_12,-681.6383999999999,1.5286385314539075E-4
wc2.0_bio_10m_12,-664.8768,1.5286385314539075E-4
wc2.0_bio_10m_12,-648.1152,1.5286385314539075E-4
wc2.0_bio_10m_12,-631.3536,1.5286385314539075E-4
wc2.0_bio_10m_12,-614.592,1.5286385314539075E-4
wc2.0_bio_10m_12,-597.8303999999999,1.5286385314539075E-4
wc2.0_bio_10m_12,-581.0688,1.5286385314539075E-4
wc2.0_bio_10m_12,-564.3072,1.5286385314539075E-4
wc2.0_bio_10m_12,-547.5455999999999,1.5286385314539075E-4
wc2.0_bio_10m_12,-530.784,1.5286385314539075E-4
wc2.0_bio_10m_12,-514.0224000000001,1.5286385314539075E-4
wc2.0_bio_10m_12,-497.2608,1.5286385314539075E-4
wc2.0_bio_10m_12,-480.4992,1.5286385314539075E-4
wc2.0_bio_10m_12,-463.73760000000004,1.5286385314539075E-4
wc2.0_bio_10m_12,-446.976,1.5286385314539075E-4
wc2.0_bio_10m_12,-430.2144,1.5286385314539075E-4
wc2.0_bio_10m_12,-413.4528,1.5286385314539075E-4
wc2.0_bio_10m_12,-396.6912,1.5286385314539075E-4
wc2.0_bio_10m_12,-379.9296,1.5286385314539075E-4
wc2.0_bio_10m_12,-363.16799999999995,1.5286385314539075E-4
wc2.0_bio_10m_12,-346.4064,1.5286385314539075E-4
wc2.0_bio_10m_12,-329.64480000000003,1.5286385314539075E-4
wc2.0_bio_10m_12,-312.8832,1.5286385314539075E-4
wc2.0_bio_10m_12,-296.1216,1.5286385314539075E-4
wc2.0_bio_10m_12,-279.36,1.5286385314539075E-4
wc2.0_bio_10m_12,-262.5984,1.5286385314539075E-4
wc2.0_bio_10m_12,-245.83680000000004,1.5286385314539075E-4
wc2.0_bio_10m_12,-229.07520000000005,1.5286385314539075E-4
wc2.0_bio_10m_12,-212.3136,1.5286385314539075E-4
wc2.0_bio_10m_12,-195.55200000000002,1.5286385314539075E-4
wc2.0_bio_10m_12,-178.79039999999998,1.5286385314539075E-4
wc2.0_bio_10m_12,-162.02880000000005,1.5286385314539075E-4
wc2.0_bio_10m_12,-145.2672,1.5286385314539075E-4
wc2.0_bio_10m_12,-128.50560000000007,1.5286385314539075E-4
wc2.0_bio_10m_12,-111.74400000000003,1.5286385314539075E-4
wc2.0_bio_10m_12,-94.98239999999998,1.5286385314539075E-4
wc2.0_bio_10m_12,-78.22080000000005,1.5286385314539075E-4
wc2.0_bio_10m_12,-61.45920000000001,1.5286385314539075E-4
wc2.0_bio_10m_12,-44.69760000000008,1.5286385314539075E-4
wc2.0_bio_10m_12,-27.935999999999922,1.5286385314539075E-4
wc2.0_bio_10m_12,-11.174399999999991,1.5286385314539075E-4
wc2.0_bio_10m_12,5.587199999999939,1.543616526760161E-4
wc2.0_bio_10m_12,22.348799999999983,1.5892858209554106E-4
wc2.0_bio_10m_12,39.11039999999991,1.6360731387976557E-4
wc2.0_bio_10m_12,55.87199999999996,1.6839976888149977E-4
wc2.0_bio_10m_12,72.6336,1.7330791160929948E-4
wc2.0_bio_10m_12,89.39519999999993,1.7833367746789008E-4
wc2.0_bio_10m_12,106.15679999999998,1.834790309658274E-4
wc2.0_bio_10m_12,122.9183999999999,1.8874593661166728E-4
wc2.0_bio_10m_12,139.67999999999995,1.9413635891396552E-4
wc2.0_bio_10m_12,156.4416,1.996522769331932E-4
wc2.0_bio_10m_12,173.20319999999992,2.0529564062599093E-4
wc2.0_bio_10m_12,189.96479999999997,2.1106844360474497E-4
wc2.0_bio_10m_12,206.7263999999999,2.1697263582609594E-4
wc2.0_bio_10m_12,223.48799999999994,2.230101963505149E-4
wc2.0_bio_10m_12,240.24959999999987,2.2918308968655765E-4
wc2.0_bio_10m_12,257.01120000000003,2.3549328034278005E-4
wc2.0_bio_10m_12,273.77279999999996,2.4194273282773793E-4
wc2.0_bio_10m_12,290.5343999999999,2.4853338254615664E-4
wc2.0_bio_10m_12,307.29599999999994,2.552671649027616E-4
wc2.0_bio_10m_12,324.05759999999987,2.621460589580238E-4
wc2.0_bio_10m_12,340.8192,2.691719273570925E-4
wc2.0_bio_10m_12,357.58079999999984,2.763467200566083E-4
wc2.0_bio_10m_12,374.3423999999999,2.836722997017205E-4
wc2.0_bio_10m_12,391.1039999999999,2.911505871452391E-4
wc2.0_bio_10m_12,407.8656,2.98783415928483E-4
wc2.0_bio_10m_12,424.6272,3.065726486966014E-4
wc2.0_bio_10m_12,441.38879999999983,3.1452011899091303E-4
wc2.0_bio_10m_12,458.1503999999999,3.2262763124890625E-4
wc2.0_bio_10m_12,474.9119999999999,3.308969608042389E-4
wc2.0_bio_10m_12,491.67359999999996,3.393298829905689E-4
wc2.0_bio_10m_12,508.4352,3.479281149338931E-4
wc2.0_bio_10m_12,525.1967999999998,3.5669334465637803E-4
wc2.0_bio_10m_12,541.9583999999999,3.6562728928402066E-4
wc2.0_bio_10m_12,558.7199999999999,3.7473157863132656E-4
wc2.0_bio_10m_12,575.4816,3.8400787161663175E-4
wc2.0_bio_10m_12,592.2432,3.9345768163912E-4
wc2.0_bio_10m_12,609.0047999999998,4.0308258030563593E-4
wc2.0_bio_10m_12,625.7663999999999,4.128840519115329E-4
wc2.0_bio_10m_12,642.5280000000001,4.228635807521641E-4
wc2.0_bio_10m_12,659.2896,4.330226220190525E-4
wc2.0_bio_10m_12,676.0512,4.4336251448839903E-4
wc2.0_bio_10m_12,692.8127999999998,4.538845969364047E-4
wc2.0_bio_10m_12,709.5743999999999,4.645901790354401E-4
wc2.0_bio_10m_12,726.3359999999999,4.7548048314638436E-4
wc2.0_bio_10m_12,743.0975999999999,4.8655670252628624E-4
wc2.0_bio_10m_12,759.8592,4.978199722245336E-4
wc2.0_bio_10m_12,776.6207999999998,5.092713981866837E-4
wc2.0_bio_10m_12,793.3823999999998,5.209119990468025E-4
wc2.0_bio_10m_12,810.1439999999999,5.327427061274648E-4
wc2.0_bio_10m_12,826.9055999999999,5.44764450751245E-4
wc2.0_bio_10m_12,843.6672,5.56978106033057E-4
wc2.0_bio_10m_12,860.4287999999998,5.693843704648316E-4
wc2.0_bio_10m_12,877.1903999999998,5.819841171614826E-4
wc2.0_bio_10m_12,893.9519999999999,5.947778699919581E-4
wc2.0_bio_10m_12,910.7135999999999,6.077661528252065E-4
wc2.0_bio_10m_12,927.4752,6.209496059454978E-4
wc2.0_bio_10m_12,944.2367999999998,6.343285785987973E-4
wc2.0_bio_10m_12,960.9983999999998,6.479034782387316E-4
wc2.0_bio_10m_12,977.7599999999999,6.616745959036052E-4
wc2.0_bio_10m_12,994.5215999999999,6.7564204800874E-4
wc2.0_bio_10m_12,1011.2832,6.898060673847795E-4
wc2.0_bio_10m_12,1028.0447999999997,7.041665958240628E-4
wc2.0_bio_10m_12,1044.8064,7.18723691534251E-4
wc2.0_bio_10m_12,1061.5679999999998,7.334771216847003E-4
wc2.0_bio_10m_12,1078.3296,7.484267116524279E-4
wc2.0_bio_10m_12,1095.0911999999998,7.635721703991294E-4
wc2.0_bio_10m_12,1111.8527999999997,7.789130904711783E-4
wc2.0_bio_10m_12,1128.6144,7.944489479996264E-4
wc2.0_bio_10m_12,1145.3759999999997,8.101792191155255E-4
wc2.0_bio_10m_12,1162.1376,8.261031471192837E-4
wc2.0_bio_10m_12,1178.8991999999998,8.422200917266309E-4
wc2.0_bio_10m_12,1195.6607999999997,8.585290051996708E-4
wc2.0_bio_10m_12,1212.4224,8.750290144234896E-4
wc2.0_bio_10m_12,1229.1839999999997,8.917190716601908E-4
wc2.0_bio_10m_12,1245.9456,9.085978963412344E-4
wc2.0_bio_10m_12,1262.7071999999998,9.256643243134022E-4
wc2.0_bio_10m_12,1279.4687999999996,9.429168421775103E-4
wc2.0_bio_10m_12,1296.2304,9.603540529496968E-4
wc2.0_bio_10m_12,1312.9919999999997,9.779742686077952E-4
wc2.0_bio_10m_12,1329.7536,9.95775917544961E-4
wc2.0_bio_10m_12,1346.5151999999998,0.0010137571953237057
wc2.0_bio_10m_12,1363.2767999999996,0.0010319158900529146
wc2.0_bio_10m_12,1380.0384,0.0010502501390874386
wc2.0_bio_10m_12,1396.7999999999997,0.0010687578469514847
wc2.0_bio_10m_12,1413.5615999999995,0.0010874366853386164
wc2.0_bio_10m_12,1430.3231999999998,0.0011062842095270753
wc2.0_bio_10m_12,1447.0847999999996,0.001125298091210425
wc2.0_bio_10m_12,1463.8464,0.0011444755364209414
wc2.0_bio_10m_12,1480.6079999999997,0.0011638139840215445
wc2.0_bio_10m_12,1497.3695999999995,0.0011833104072138667
wc2.0_bio_10m_12,1514.1311999999998,0.001202962128445506
wc2.0_bio_10m_12,1530.8927999999996,0.0012227657716721296
wc2.0_bio_10m_12,1547.6544,0.0012427183100953698
wc2.0_bio_10m_12,1564.4159999999997,0.0012628164840862155
wc2.0_bio_10m_12,1581.1775999999995,0.0012830568011850119
wc2.0_bio_10m_12,1597.9391999999998,0.0013034356525167823
wc2.0_bio_10m_12,1614.7007999999996,0.0013239494292065501
wc2.0_bio_10m_12,1631.4624,0.0013445945223793387
wc2.0_bio_10m_12,1648.2239999999997,0.0013653668574988842
wc2.0_bio_10m_12,1664.9855999999995,0.0013862624764442444
wc2.0_bio_10m_12,1681.7471999999998,0.0014072771882638335
wc2.0_bio_10m_12,1698.5087999999996,0.0014284070348367095
wc2.0_bio_10m_12,1715.2703999999999,0.0014496473595499992
wc2.0_bio_10m_12,1732.0319999999997,0.001470993971452117
wc2.0_bio_10m_12,1748.7935999999995,0.0014924420975148678
