variable,x,y
wc2.0_bio_10m_01,-5.955036473274231,1.632677859282703E-14
wc2.0_bio_10m_01,-5.8782455970764165,1.632677859282703E-14
wc2.0_bio_10m_01,-5.801454720878601,1.632677859282703E-14
wc2.0_bio_10m_01,-5.724663844680786,1.632677859282703E-14
wc2.0_bio_10m_01,-5.647872968482972,1.632677859282703E-14
wc2.0_bio_10m_01,-5.571082092285156,1.632677859282703E-14
wc2.0_bio_10m_01,-5.494291216087341,1.632677859282703E-14
wc2.0_bio_10m_01,-5.417500339889527,1.632677859282703E-14
wc2.0_bio_10m_01,-5.340709463691711,1.632677859282703E-14
wc2.0_bio_10m_01,-5.2639185874938965,1.632677859282703E-14
wc2.0_bio_10m_01,-5.187127711296082,1.632677859282703E-14
wc2.0_bio_10m_01,-5.110336835098266,1.632677859282703E-14
wc2.0_bio_10m_01,-5.033545958900452,1.632677859282703E-14
wc2.0_bio_10m_01,-4.956755082702637,1.632677859282703E-14
wc2.0_bio_10m_01,-4.879964206504821,1.632677859282703E-14
wc2.0_bio_10m_01,-4.803173330307007,1.632677859282703E-14
wc2.0_bio_10m_01,-4.726382454109192,1.632677859282703E-14
wc2.0_bio_10m_01,-4.649591577911377,1.632677859282703E-14
wc2.0_bio_10m_01,-4.572800701713562,1.632677859282703E-14
wc2.0_bio_10m_01,-4.496009825515747,1.632677859282703E-14
wc2.0_bio_10m_01,-4.419218949317932,1.632677859282703E-14
wc2.0_bio_10m_01,-4.342428073120117,1.632677859282703E-14
wc2.0_bio_10m_01,-4.265637196922302,1.632677859282703E-14
wc2.0_bio_10m_01,-4.188846320724487,1.632677859282703E-14
wc2.0_bio_10m_01,-4.112055444526672,1.632677859282703E-14
wc2.0_bio_10m_01,-4.0352645683288575,1.632677859282703E-14
wc2.0_bio_10m_01,-3.9584736921310424,1.632677859282703E-14
wc2.0_bio_10m_01,-3.8816828159332273,1.632677859282703E-14
wc2.0_bio_10m_01,-3.804891939735412,1.632677859282703E-14
wc2.0_bio_10m_01,-3.7281010635375975,1.632677859282703E-14
wc2.0_bio_10m_01,-3.6513101873397824,1.632677859282703E-14
wc2.0_bio_10m_01,-3.5745193111419677,1.632677859282703E-14
wc2.0_bio_10m_01,-3.4977284349441526,1.632677859282703E-14
wc2.0_bio_10m_01,-3.4209375587463375,1.632677859282703E-14
wc2.0_bio_10m_01,-3.344146682548523,1.632677859282703E-14
wc2.0_bio_10m_01,-3.2673558063507078,1.632677859282703E-14
wc2.0_bio_10m_01,-3.190564930152893,1.632677859282703E-14
wc2.0_bio_10m_01,-3.113774053955078,1.632677859282703E-14
wc2.0_bio_10m_01,-3.036983177757263,1.632677859282703E-14
wc2.0_bio_10m_01,-2.9601923015594482,1.632677859282703E-14
wc2.0_bio_10m_01,-2.883401425361633,1.632677859282703E-14
wc2.0_bio_10m_01,-2.806610549163818,1.632677859282703E-14
wc2.0_bio_10m_01,-2.7298196729660034,1.736715189248981E-14
wc2.0_bio_10m_01,-2.6530287967681883,2.089342120267703E-14
wc2.0_bio_10m_01,-2.576237920570373,2.511797092205354E-14
wc2.0_bio_10m_01,-2.4994470443725585,3.017545387824436E-14
wc2.0_bio_10m_01,-2.4226561681747434,3.622576278663678E-14
wc2.0_bio_10m_01,-2.3458652919769287,4.3458560182582304E-14
wc2.0_bio_10m_01,-2.2690744157791136,5.2098757030499473E-14
wc2.0_bio_10m_01,-2.192283539581298,6.24127960142766E-14
wc2.0_bio_10m_01,-2.1154926633834834,7.471614608478908E-14
wc2.0_bio_10m_01,-2.0387017871856683,8.94505078189757E-14
wc2.0_bio_10m_01,-1.9619109109878536,1.070630400740874E-13
wc2.0_bio_10m_01,-1.885120034790039,1.280532754485697E-13
wc2.0_bio_10m_01,-1.8083291585922234,1.530509795505744E-13
wc2.0_bio_10m_01,-1.7315382823944088,1.8279976599262782E-13
wc2.0_bio_10m_01,-1.6547474061965932,2.1817729643335698E-13
wc2.0_bio_10m_01,-1.5779565299987794,2.602181707958562E-13
wc2.0_bio_10m_01,-1.501165653800964,3.1014164218572116E-13
wc2.0_bio_10m_01,-1.4243747776031492,3.693828012560352E-13
wc2.0_bio_10m_01,-1.3475839014053337,4.396302928904444E-13
wc2.0_bio_10m_01,-1.270793025207519,5.228688033757922E-13
wc2.0_bio_10m_01,-1.1940021490097044,6.214299907991716E-13
wc2.0_bio_10m_01,-1.1172112728118897,7.38050300128773E-13
wc2.0_bio_10m_01,-1.0404203966140741,8.759390240052622E-13
wc2.0_bio_10m_01,-0.9636295204162586,1.0388576934458604E-12
wc2.0_bio_10m_01,-0.8868386442184439,1.231211313457159E-12
wc2.0_bio_10m_01,-0.8100477680206293,1.4581538016963935E-12
wc2.0_bio_10m_01,-0.7332568918228146,1.7257121296201938E-12
wc2.0_bio_10m_01,-0.6564660156249991,2.0409275398175497E-12
wc2.0_bio_10m_01,-0.5796751394271844,2.4120213205219843E-12
wc2.0_bio_10m_01,-0.5028842632293689,2.8485831315289145E-12
wc2.0_bio_10m_01,-0.4260933870315551,3.3522971724930795E-12
wc2.0_bio_10m_01,-0.34930251083373953,3.939446859002604E-12
wc2.0_bio_10m_01,-0.27251163463592487,4.629434422614986E-12
wc2.0_bio_10m_01,-0.19572075843810932,5.440272364543031E-12
wc2.0_bio_10m_01,-0.11892988224029466,6.393127346959737E-12
wc2.0_bio_10m_01,-0.04213900604247911,7.512874003468006E-12
wc2.0_bio_10m_01,0.03465187015533466,8.82874155727631E-12
wc2.0_bio_10m_01,0.11144274635315021,1.037508100265594E-11
wc2.0_bio_10m_01,0.18823362255096487,1.2192260222254614E-11
wc2.0_bio_10m_01,0.2650244987487804,1.432771522952292E-11
wc2.0_bio_10m_01,0.3418153749465951,1.683719136336137E-11
wc2.0_bio_10m_01,0.41860625114440975,1.9786198721116754E-11
wc2.0_bio_10m_01,0.4953971273422244,2.3228863277324763E-11
wc2.0_bio_10m_01,0.57218800354004,2.7164106033983337E-11
wc2.0_bio_10m_01,0.6489788797378546,3.1743670192430073E-11
wc2.0_bio_10m_01,0.7257697559356702,3.7069187996952024E-11
wc2.0_bio_10m_01,0.8025606321334848,4.3257689097409013E-11
wc2.0_bio_10m_01,0.8793515083312995,5.044380191332465E-11
wc2.0_bio_10m_01,0.9561423845291142,5.878229847322558E-11
wc2.0_bio_10m_01,1.0329332607269297,6.845096711671772E-11
wc2.0_bio_10m_01,1.1097241369247444,7.965387377462108E-11
wc2.0_bio_10m_01,1.18651501312256,9.262503264384492E-11
wc2.0_bio_10m_01,1.2633058893203737,1.076326944238204E-10
wc2.0_bio_10m_01,1.3400967655181892,1.2498393986426493E-10
wc2.0_bio_10m_01,1.416887641716004,1.4503025169698702E-10
wc2.0_bio_10m_01,1.4936785179138194,1.681733641234473E-10
wc2.0_bio_10m_01,1.570469394111635,1.948722572198136E-10
wc2.0_bio_10m_01,1.6472602703094488,2.25650956253709E-10
wc2.0_bio_10m_01,1.7240511465072643,2.611069971347746E-10
wc2.0_bio_10m_01,1.800842022705079,3.019215988331325E-10
wc2.0_bio_10m_01,1.8776328989028945,3.488702937648469E-10
wc2.0_bio_10m_01,1.9544237751007092,4.0283593127909967E-10
wc2.0_bio_10m_01,2.031214651298524,4.6482198645669826E-10
wc2.0_bio_10m_01,2.1080055274963394,5.35968491810479E-10
wc2.0_bio_10m_01,2.184796403694153,6.175699396315792E-10
wc2.0_bio_10m_01,2.2615872798919687,7.11094794159095E-10
wc2.0_bio_10m_01,2.3383781560897843,8.182065025508223E-10
wc2.0_bio_10m_01,2.415169032287598,9.407897794133646E-10
wc2.0_bio_10m_01,2.4919599084854136,1.0809771966435733E-9
wc2.0_bio_10m_01,2.568750784683229,1.241180380695539E-9
wc2.0_bio_10m_01,2.6455416608810447,1.4241224866040625E-9
wc2.0_bio_10m_01,2.7223325370788585,1.6328792762365651E-9
wc2.0_bio_10m_01,2.7991234132766722,1.870920085522698E-9
wc2.0_bio_10m_01,2.8759142894744896,2.142152899509142E-9
wc2.0_bio_10m_01,2.9527051656723033,2.4509811957784677E-9
wc2.0_bio_10m_01,3.029496041870119,2.8023587894665525E-9
wc2.0_bio_10m_01,3.1062869180679327,3.2018570017555703E-9
wc2.0_bio_10m_01,3.183077794265748,3.6557310512108643E-9
wc2.0_bio_10m_01,3.2598686704635638,4.171005762998448E-9
wc2.0_bio_10m_01,3.3366595466613775,4.7555590576564555E-9
wc2.0_bio_10m_01,3.413450422859193,5.418222759345781E-9
wc2.0_bio_10m_01,3.4902412990570086,6.168877852985588E-9
wc2.0_bio_10m_01,3.5670321752548224,7.018588377150081E-9
wc2.0_bio_10m_01,3.643823051452638,7.979722660422794E-9
wc2.0_bio_10m_01,3.7206139276504517,9.066087436337966E-9
wc2.0_bio_10m_01,3.797404803848269,1.029310237044001E-8
wc2.0_bio_10m_01,3.874195680046083,1.1677959044220643E-8
wc2.0_bio_10m_01,3.9509865562438966,1.3239818130728054E-8
wc2.0_bio_10m_01,4.027777432441714,1.4999992359321368E-8
wc2.0_bio_10m_01,4.104568308639528,1.6982232509121786E-8
wc2.0_bio_10m_01,4.181359184837343,1.9212880175700775E-8
wc2.0_bio_10m_01,4.258150061035157,2.1721231036053723E-8
wc2.0_bio_10m_01,4.334940937232973,2.453977820948694E-8
