Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.93099E-12,0.000000001,0.000000005,0.997255978,0,0
3.26009E-12,0.000000003,0.000000009,0.996667973,0,0
1.05003E-11,0.00000001,0.00000003,0.995491964,0,0
1.80188E-11,0.000000026,0.000000051,0.994511956,0,0
4.63813E-11,0.000000104,0.000000132,0.992061936,0,0
9.41794E-11,0.000000255,0.000000267,0.99000392,0,0
2.35187E-10,0.000001016,0.000000668,0.985593885,0,0
3.94563E-10,0.000002535,0.000001121,0.980889847,0,0
9.54786E-10,0.000010029,0.000002712,0.970305762,0,0
1.64896E-9,0.000025001,0.000004683,0.959035672,0,0
2.50408E-9,0.000050011,0.000007112,0.947373579,0,0
3.87164E-9,0.00010006,0.000010996,0.931987456,0,0
6.92584E-9,0.000250285,0.000019671,0.903567229,0,0
1.14219E-8,0.000500941,0.00003244,0.876323011,0,0
2.03195E-8,0.001000244,0.00005771,0.845158761,0,0
4.32875E-8,0.002502695,0.000122939,0.796550372,0,0
7.89255E-8,0.005003117,0.000224141,0.755194042,0,0
1.50148E-7,0.010011508,0.000426363,0.710897687,0,0
3.60782E-7,0.025009903,0.001024177,0.650137201,0,0
7.4531E-7,0.050009154,0.002114611,0.604076833,0.004385965,0
1.58048E-6,0.100092624,0.004478856,0.560760486,0.004385965,0
3.23552E-6,0.200063443,0.009147509,0.518816151,0.004385965,0
4.92466E-6,0.300210511,0.013889777,0.494315955,0.004385965,0
6.40752E-6,0.400011338,0.01803422,0.476969816,0.004385965,0
8.01564E-6,0.500641185,0.022509035,0.463151705,0.00877193,0
9.32996E-6,0.600670637,0.026151169,0.451783614,0.00877193,0
1.07997E-5,0.700637362,0.030207996,0.442081537,0.00877193,0
1.15362E-5,0.750959663,0.032234323,0.437671501,0.00877193,0
1.22723E-5,0.801068499,0.034255686,0.433555468,0.00877193,0
1.36122E-5,0.900895308,0.037923944,0.426009408,0.00877193,0
1.47693E-5,1.000112976,0.041080536,0.419149353,0.00877193,0
1.60608E-5,1.100417927,0.044591615,0.412779302,0.00877193,0
1.72868E-5,1.200994814,0.047912559,0.406899255,0.00877193,0
1.87157E-5,1.300374073,0.051768588,0.401509212,0.00877193,0
1.99823E-5,1.400945122,0.055173887,0.396413171,0.00877193,0
2.12526E-5,1.500078915,0.058576397,0.391709134,0.00877193,0
2.41348E-5,1.75137247,0.066251659,0.380831047,0.00877193,0
2.71693E-5,2.002708267,0.074264779,0.37122697,0.013157895,0
3.04388E-5,2.250808755,0.082821348,0.362700902,0.013157895,0
3.34359E-5,2.501658305,0.090595815,0.35505684,0.013157895,0
3.72061E-5,2.751971421,0.100281961,0.348098785,0.013157895,0
3.95357E-5,3.000919011,0.106215175,0.341728734,0.013157895,0.01754386
4.27653E-5,3.251029845,0.11437633,0.335750686,0.013157895,0.01754386
4.52156E-5,3.501852435,0.120518189,0.330164641,0.013157895,0.01754386
4.81985E-5,3.753617315,0.127937983,0.324872599,0.013157895,0.01754386
5.11636E-5,4.001776302,0.135251114,0.31997256,0.013157895,0.01754386
5.39057E-5,4.254067257,0.141959882,0.315268522,0.013157895,0.01754386
5.68371E-5,4.50315443,0.149074067,0.310858487,0.01754386,0.01754386
5.963E-5,4.753666057,0.155797306,0.306644453,0.01754386,0.01754386
6.19713E-5,5.002862198,0.161392472,0.302626421,0.021929825,0.01754386
6.46505E-5,5.256026135,0.167749715,0.29870639,0.026315789,0.01754386
6.73293E-5,5.500371651,0.17405767,0.295080361,0.030701754,0.01754386
6.93711E-5,5.753045091,0.178833627,0.291454332,0.035087719,0.01754386
7.21451E-5,6.000936209,0.185278142,0.288024304,0.039473684,0.01754386
7.39222E-5,6.256832337,0.189379922,0.284594277,0.039473684,0.01754386
7.60932E-5,6.50392098,0.194362788,0.281360251,0.043859649,0.01754386
7.83484E-5,6.751247964,0.199506693,0.278224226,0.043859649,0.01754386
8.10061E-5,7.006975663,0.205526484,0.275088201,0.043859649,0.035087719
8.33062E-5,7.253532047,0.210699643,0.272148177,0.048245614,0.035087719
8.63769E-5,7.507444999,0.217553558,0.269208154,0.052631579,0.035087719
8.81893E-5,7.75187788,0.221571062,0.266464132,0.052631579,0.035087719
8.97121E-5,8.00137366,0.224930638,0.26372011,0.052631579,0.035087719
9.16582E-5,8.254940283,0.229202818,0.260976088,0.057017544,0.052631579
