Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.95654E-12,0.000000001,0.000000005,0.997060841,0,0
3.45039E-12,0.000000003,0.00000001,0.996570981,0,0
1.29925E-11,0.000000011,0.000000036,0.995591261,0,0
1.8006E-11,0.000000026,0.00000005,0.994611541,0,0
4.00943E-11,0.000000103,0.000000112,0.992162242,0,0
6.88272E-11,0.000000257,0.000000193,0.989516998,0,0
1.82685E-10,0.000001016,0.000000512,0.983344763,0,0
3.42517E-10,0.000002508,0.000000959,0.977760361,0,0
7.89363E-10,0.000010065,0.000002211,0.964534143,0,0
1.50306E-9,0.000025071,0.000004209,0.951405898,0,0
2.42097E-9,0.000050222,0.00000678,0.938767512,0,0
4.0228E-9,0.000100151,0.000011266,0.92328794,0,0
7.46053E-9,0.000250621,0.000020893,0.896835505,0,0
1.31839E-8,0.000500908,0.000036921,0.872244538,0,0
2.39149E-8,0.001000197,0.000066973,0.844812384,0,0
4.81947E-8,0.002501307,0.000134963,0.802782404,0,0
8.22398E-8,0.005002148,0.000230291,0.764377388,0,0
1.54008E-7,0.010009942,0.000431215,0.721171745,0,0
3.76279E-7,0.025016054,0.001053237,0.661408837,0,0
7.37297E-7,0.050013851,0.002062715,0.615753894,0,0
1.48749E-6,0.100088623,0.004157137,0.570294896,0.004385965,0
3.16592E-6,0.200148506,0.008827161,0.526109533,0.004385965,0
4.63568E-6,0.300345665,0.012898587,0.500930734,0.004385965,0
6.07358E-6,0.400400309,0.01686559,0.482512002,0.004385965,0
7.72762E-6,0.50045009,0.021409168,0.468208092,0.004385965,0
9.20142E-6,0.600813392,0.025439933,0.456451455,0.004385965,0.01754386
1.06902E-5,0.700176645,0.02949475,0.446654257,0.004385965,0.01754386
1.16296E-5,0.750411847,0.032044648,0.442245518,0.004385965,0.01754386
1.21867E-5,0.800555832,0.033553751,0.438130695,0.004385965,0.01754386
1.36838E-5,0.901276226,0.03759724,0.43048888,0.004385965,0.01754386
1.50285E-5,1.001250624,0.041214856,0.423630842,0.004385965,0.01754386
1.63162E-5,1.101569958,0.044666097,0.417360635,0.004385965,0.01754386
1.75755E-5,1.200007599,0.048029386,0.41167826,0.004385965,0.01754386
1.89276E-5,1.300511695,0.051627553,0.406289801,0.004385965,0.01754386
1.9976E-5,1.401592773,0.054407792,0.401195258,0.004385965,0.01754386
2.1261E-5,1.500646137,0.057804621,0.396492603,0.004385965,0.01754386
2.46882E-5,1.752086594,0.06680462,0.385715685,0.004385965,0.035087719
2.7103E-5,2.000880122,0.073094482,0.376310375,0.004385965,0.035087719
3.03325E-5,2.251353417,0.081439976,0.367786813,0.004385965,0.035087719
3.3487E-5,2.500609051,0.089519031,0.360144999,0.004385965,0.035087719
3.61246E-5,2.752406732,0.096219856,0.353091016,0.004385965,0.035087719
3.89505E-5,3.000183116,0.103344171,0.346624865,0.004385965,0.035087719
4.14695E-5,3.250264172,0.10964742,0.340550603,0.00877193,0.052631579
4.42634E-5,3.503530309,0.116586819,0.334770256,0.01754386,0.052631579
4.6409E-5,3.752924351,0.121879268,0.329381797,0.026315789,0.052631579
4.89591E-5,4.00116252,0.128128132,0.324287254,0.026315789,0.052631579
5.1703E-5,4.253447629,0.134802375,0.319388655,0.035087719,0.052631579
5.41306E-5,4.501633198,0.14066456,0.314783972,0.035087719,0.052631579
5.7289E-5,4.753034564,0.148232102,0.310375233,0.043859649,0.052631579
5.9276E-5,5.003990663,0.15295891,0.306162438,0.043859649,0.052631579
6.16235E-5,5.251904745,0.158509219,0.302145586,0.043859649,0.052631579
6.35868E-5,5.50277976,0.163123448,0.298226707,0.048245614,0.052631579
6.62546E-5,5.756246893,0.169352585,0.2944058,0.048245614,0.070175439
6.79058E-5,6.004338402,0.173185065,0.290780837,0.048245614,0.070175439
7.0174E-5,6.252535656,0.178420462,0.287253845,0.048245614,0.070175439
7.20744E-5,6.501348401,0.182781526,0.283824826,0.048245614,0.070175439
7.45885E-5,6.750495266,0.188515127,0.280493779,0.048245614,0.070175439
7.65125E-5,7.006682388,0.192875942,0.277162731,0.048245614,0.070175439
7.85911E-5,7.255228585,0.197560732,0.274027628,0.048245614,0.070175439
8.02341E-5,7.501049877,0.201244498,0.270990497,0.048245614,0.070175439
8.22498E-5,7.752863242,0.205740909,0.267953365,0.052631579,0.070175439
8.42498E-5,8.002269633,0.210177274,0.265014206,0.052631579,0.070175439
8.63765E-5,8.25004236,0.214867458,0.262173019,0.052631579,0.070175439
8.84335E-5,8.503873276,0.21937727,0.259331831,0.052631579,0.070175439
9.00783E-5,8.754016815,0.222964809,0.256588616,0.052631579,0.070175439
9.19716E-5,9.009158004,0.227074079,0.2538454,0.057017544,0.070175439
9.37668E-5,9.250902922,0.230950315,0.251298129,0.061403509,0.070175439
9.65063E-5,9.506718167,0.236827837,0.248652885,0.061403509,0.070175439
9.85672E-5,9.75050382,0.241220095,0.246203586,0.061403509,0.070175439
1.00825E-4,10.009495915,0.246002042,0.243656314,0.061403509,0.070175439
1.03189E-4,10.25463139,0.25097907,0.241304987,0.065789474,0.070175439
1.06055E-4,10.505948165,0.256966836,0.238953659,0.065789474,0.070175439
1.07722E-4,10.75147745,0.260427508,0.236700304,0.065789474,0.070175439
