X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
18.375,-33.875,train,6.068142962961684E-4,70.87506384654897,0.8215576565087176
18.625,-34.125,train,5.189569454609131E-4,59.31758862764628,0.7709820752136451
18.86667,-33.5,train,4.0126880510108214E-4,44.73941166703326,0.6800831271637073
18.9625,-34.0272,train,7.703075138960784E-4,83.8598426436272,0.8878420823152867
19.16861,-33.9469,train,4.4511189751212933E-4,49.660644337113844,0.7175400137102921
20.70417,-33.9772,train,2.0551752123828E-4,22.312752088677172,0.4421784693313745
20.8330593109131,-34.040828704834,train,2.588966685552647E-4,29.073599697799935,0.520650377420257
22.5488891601563,-33.9908294677734,train,2.7371007706417766E-4,30.914909937237937,0.5403998812675712
26.45472,-25.0003,train,6.843547007069287E-5,5.6372605710641635,0.17664860477552613
26.905,-31.7816,train,4.538119718101776E-4,50.522162834413805,0.724434121901175
27.94778,-24.3097,train,1.389506123350159E-4,14.226229560931712,0.3260849000797369
27.96361,-24.3388,train,2.1386015929603062E-4,23.393026437450356,0.45524067246691147
28.125,-32.875,train,3.174110207388424E-4,35.81033661513076,0.5940474632179025
28.18111,-30.0219,train,2.3070288007005907E-4,25.4195729943538,0.48068690717424
28.2939,-23.9013,train,1.4806638224795305E-4,15.366704272060115,0.34330919462651377
28.75917,-25.7875,train,3.37392382015842E-4,38.50234235611178,0.6164443708770162
29.34833,-29.5211,train,4.0823901826796713E-4,45.59539039027095,0.6863542359640602
29.36917,-29.7255,train,3.9457964810538586E-4,44.0867121369675,0.6739470122684553
29.405,-30.5066,train,5.938268368455808E-4,68.64389204129846,0.8148524891564921
29.40722,-29.0486,train,5.538168973559321E-4,63.952811979076635,0.7925707882494477
29.41,-28.5416,train,5.117328567437301E-4,58.3272570757912,0.7662345366855754
29.44917,-31.6475,train,2.7909152720556585E-4,31.574941420598623,0.5473712424407409
29.45472,-29.8383,train,4.028309435651204E-4,44.98728061540502,0.6814993985496508
29.51056,-28.8288,train,4.279506990533529E-4,47.40679471603096,0.7034313930675209
29.5125,-29.2375,train,5.217445565891615E-4,59.83075949632312,0.7727881529735139
29.525,-29.8511,train,5.71079796447116E-4,65.88816183518998,0.8024958496381711
29.525,-29.7488,train,4.44609342481167E-4,49.54165983355109,0.717136550962292
29.52778,-28.5269,train,4.33683499788263E-4,48.18143386189109,0.708221156117475
29.54445,-29.475,train,3.435848686317196E-4,39.417324498306336,0.6231313925904259
29.55389,-29.6636,train,5.936285324583331E-4,68.56653249789126,0.8147481792858294
29.59972,-30.858,train,8.479052477298603E-4,88.92572095680642,0.9100267182225197
29.61083,-28.8658,train,4.885615464248734E-4,55.130409202280994,0.7503324889232768
29.67111,-28.2502,train,5.568203304136885E-4,64.47866204944738,0.7943327226240803
29.68611,-29.6419,train,6.020422443996232E-4,70.03793188590143,0.8191226369860379
29.6875,-29.9077,train,7.254319475614482E-4,81.2824336654314,0.8725958130285749
29.705,-29.0069,train,6.191097300090503E-4,72.2011435129394,0.8276816336564481
29.71278,-29.3169,train,4.500643807701036E-4,50.02313840457069,0.7214853315564635
29.75528,-28.9755,train,4.589706481188638E-4,51.13325196365962,0.7284422251526942
29.84639,-29.4072,train,5.881663678352939E-4,67.83839681955651,0.8118518142407298
29.86111,-29.6225,train,6.827466387882113E-4,77.24891431089355,0.8561745328562451
29.88305,-30.2336,train,7.036747531747684E-4,79.04662680062948,0.8644744807768058
29.93805,-30.0377,train,7.556091706362297E-4,83.3408621134773,0.8830607611216241
29.95389,-29.6944,train,6.493210814766703E-4,74.82865345133382,0.8418511517060886
29.9846,-31.264,train,2.577403818439075E-4,28.91187038748928,0.5190735500369278
30.0725,-30.1461,train,7.514360529260302E-4,83.03118559721965,0.8816664808063784
30.07972,-27.175,train,3.2897487068573797E-4,37.42544283522795,0.6071639689075765
29.9166666666667,-31.4166666666667,train,2.07209419657078E-4,22.555601383834425,0.44485258013758633
30.1525,-29.5944,train,7.514864602060876E-4,83.03510809216435,0.881683421174884
30.19,-27.0927,train,5.20039381751566E-4,59.610655548446346,0.7716850784074754
30.20083,-29.4855,train,6.943387701337495E-4,78.06727361214772,0.8608327763326018
30.29194,-27.2147,train,5.316397089662662E-4,60.89510954189079,0.7790849231256479
30.34695,-25.7927,train,6.48322243701581E-4,74.68503210270482,0.8414018582786948
30.35,-27.0833,train,5.884975244986139E-4,68.0096510374128,0.8120286956567377
30.36667,-26.7666,train,5.929282768917093E-4,68.42936846841808,0.8143793682528816
30.375,-30.875,train,1.8110579475756183E-4,19.431816633923574,0.40212966835255926
30.42167,-30.7816,train,1.885243853315921E-4,20.384741454814307,0.41459529002178974
30.43361,-29.4361,train,5.297915049395978E-4,60.50839030341525,0.7779222208056473
30.51889,-25.26611,train,7.175126252692796E-4,80.61254850093414,0.8696976821724414
30.56417,-29.3716,train,7.027367799788399E-4,78.96192002268396,0.8641129518718228
30.57472,-25.8908,train,4.0312906039712356E-4,45.034017339400805,0.6817689649763155
30.575,-27.9166,train,6.216850142640359E-4,72.42691973897244,0.8289374389436341
30.63333,-27.3166,train,6.444411711992313E-4,74.21382431621493,0.8396439403839822
30.70833,-27.675,train,6.450863714075574E-4,74.25884760641192,0.8399375260902766
30.725,-27.875,train,6.007675808684787E-4,69.77790459680165,0.8184666139978796
30.74167,-27.6166,train,6.413933106584037E-4,74.00122931310968,0.8382497744068824
30.88333,-28.1,train,5.310417871027521E-4,60.757576725816136,0.7787094390644774
30.90833,-27.9083,train,5.969933591190137E-4,69.09797206138812,0.8165101735239734
30.90833,-27.7916,train,6.542878738484945E-4,75.18001602081009,0.8440664656536294
31.0,-27.5416,train,5.647434833718208E-4,65.2827036553302,0.7989092779546059
31.06667,-27.825,train,6.994096083628549E-4,78.55560937466791,0.862822743653024
31.12278,-27.2088,train,4.6052321313099143E-4,51.36349146759377,0.7296370596283093
31.125,-26.375,train,6.632664778532523E-4,75.76049978710898,0.8479926932937575
31.125,-26.125,train,4.7918594710277275E-4,53.844671619700414,0.7435948276379701
31.14,-28.41,train,7.095098712961225E-4,79.56275652489202,0.8667020428056974
31.175,-28.375,train,4.575651046904536E-4,50.855700129000546,0.7273559832276344
31.2,-27.9333,train,4.877192324191799E-4,55.01331212552358,0.7497344787812688
31.20833,-27.6916,train,6.024415069800403E-4,70.09411446046603,0.8193276349291716
31.375,-26.125,train,1.0066262459773187E-4,9.415813100146549,0.24866571215564615
19.52405,-34.41059,train,5.918683565895425E-4,68.27682050280481,0.8138197315084992
-94.91273,29.49057,train,6.77063434405532E-4,76.94189003638334,0.8538341237425633
-97.27672,30.1093,train,2.910913240941083E-4,32.83598277783401,0.5625378731913672
-95.66444,30.52972,train,4.688388058768715E-4,52.27690393437043,0.7359477190883701
-95.28561,30.02738,train,6.720034715281894E-4,76.51320865874237,0.8517183429125024
-96.01487,30.20341,train,3.694514641928635E-4,42.21441161080342,0.649826191040038
-93.23262,30.59954,train,8.179359127729887E-4,86.30522535381736,0.9020328281752591
-95.44815,29.66301,train,6.635956693494665E-4,75.7793880300523,0.8481347503978531
-96.54572,28.9568,train,4.745988190872489E-4,52.965389948851495,0.7402324018367801
-94.7543,32.49473,train,1.8529083467191346E-4,19.92026689781311,0.4091941605417412
-94.74321,32.51102,train,1.7622226350021546E-4,18.86792383228406,0.39377923031940876
-86.22043,32.41499,train,4.130484181336181E-4,46.012251691171755,0.6906094401352696
121.6135,25.04465,train,0.001580823735034043,99.56689616934644,0.9887781965693676
-77.09677,34.93622,train,3.8384536747665957E-4,43.24844551857008,0.6638532938754564
-52.48583,-30.32455,train,4.944087108075424E-4,55.972003575710396,0.7544445447370003
-53.71639,-27.02528,train,5.598806363449658E-4,64.87969914562002,0.7961126278248807
-97.7424,30.26062,train,2.480076904736514E-4,27.66282452367159,0.5055938275874038
-95.80194,29.52222,train,4.98843316179754E-4,56.525340318497996,0.7575179887267255
-94.74297,29.82507,train,8.012503781051276E-4,85.55776649225334,0.8972783266308652
-95.79264,30.03703,train,5.11294011521205E-4,58.259624942577425,0.7659429851687105
-95.16472,30.11406,train,7.891799642078562E-4,85.0033323674556,0.8936956896269985
150.6374,-33.93566,train,6.322903862236407E-4,73.05487830926089,0.8340132956869196
22.40754,-33.97049,train,2.58567297847322E-4,29.03255105837168,0.52020174214881
-95.67169,30.30227,train,5.137187188566194E-4,58.760496330095606,0.7675493319668198
-95.50036,29.6366,train,5.687920665177324E-4,65.67958394519829,0.8012083545152646
-97.76193,30.46085,train,2.387852851431763E-4,26.670000043244837,0.49247239372827967
117.8707,-22.11475,train,5.528182935964381E-7,0.037494724663772336,0.001568896877883641
-97.22017,32.66257,train,8.315964449709055E-5,7.237822210535214,0.2103710944077224
150.6444,-33.82627,train,7.092635854088025E-4,79.5416819254446,0.866608767254808
-96.73461,33.12526,train,8.375579615520592E-5,7.290708680007517,0.21170696708852732
-87.6329,30.26029,train,0.0014323810838773818,98.82122960693029,0.9828933154475759
-97.44866,30.13331,train,2.7042273113125263E-4,30.341291289129295,0.5360885888877693
150.9046,-33.7545,train,6.497498633685763E-4,74.8851385142404,0.84204363407003
151.2846,-33.68408,train,7.529964085857335E-4,83.24194454342788,0.8821897465315528
150.8782,-34.48676,train,7.228052869860474E-4,81.04475879095978,0.8716417840943007
-95.88879,31.9329,train,2.051956058766902E-4,22.266487273757544,0.4416682129706183
-117.2059,32.91095,train,1.7647052982677522E-4,18.89484547259207,0.3942065455953928
-95.55156,30.12663,train,5.403994619047086E-4,62.25859658272356,0.7845134095824043
-82.3894,28.135,train,2.7411029518134924E-4,31.00377759144918,0.5409220164573878
-99.45399,30.56925,train,8.977504606214279E-5,8.009575201754634,0.22506910325990004
-82.44297,29.98005,train,8.220528554802265E-4,86.82249193121405,0.9031716916178432
-98.15657,30.47605,train,1.8536297519333492E-4,19.929259075657328,0.4093152015302286
-101.0276,29.4789,train,5.666888370010025E-5,4.488860740092602,0.14866743734883603
-97.13535,30.09372,train,2.9894179851645445E-4,33.79817511455139,0.5721840784347343
30.74883,-30.28098,train,2.076328172110793E-4,22.615915214858376,0.44551976850331376
151.6324,-32.7805,train,6.508978525938431E-4,75.03636748362855,0.842557819795438
151.0277,-33.81281,train,7.625273728499032E-4,83.56436788911306,0.8853361027708201
174.472,-36.87213,train,3.1344782041978973E-4,35.46091027741712,0.5894520902335627
152.4718,-31.89393,train,8.357902599007603E-4,87.85394868037335,0.9068769198712148
152.83,-28.67,train,8.764942690637933E-4,90.10553692643056,0.9170437404354604
152.1203,-32.75105,train,6.859411766082084E-4,77.51440863676272,0.8574735892115364
151.4633,-33.40462,train,7.944414365267385E-4,85.30652517943378,0.8952724660013305
150.737,-33.76779,train,6.212166282472658E-4,72.39059867536531,0.8287097191948998
153.183,-29.18916,train,6.684206115654418E-4,76.0862872580629,0.8502017055356336
151.5724,-33.17685,train,7.15731482375629E-4,80.43950599791478,0.869036832348198
151.4016,-33.32922,train,8.39139252482611E-4,88.069949285403,0.907758497519222
151.2812,-33.84056,train,6.680169819915728E-4,76.03960016009313,0.8500298784173619
151.2922,-33.49437,train,7.995433142410685E-4,85.51848321037589,0.8967790767105742
-49.2375,-25.44361,train,6.074435805547569E-4,71.00553207826667,0.821876303360501
175.231,-37.2612,train,2.55803595055435E-4,28.61808728125475,0.5164207260872034
152.7641,-31.63137,train,9.186500698714262E-4,91.87684877195785,0.9264046772152515
150.5887,-34.22226,train,4.7871174533997967E-4,53.75586989328628,0.7432492581905339
174.7406,-36.81408,train,3.568135483793424E-4,40.93436456485873,0.6370285557456719
152.5169,-32.20391,train,6.994302916024149E-4,78.55939154252764,0.8628308019044825
150.7988,-34.07123,train,6.176705664543055E-4,72.04532671323318,0.8269758322477482
