Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.56662E-12,0.000000001,0.000000005,0.998236159,0,0
5.14716E-12,0.000000003,0.000000015,0.997648212,0,0
1.64916E-11,0.000000011,0.000000049,0.996864282,0,0
3.02553E-11,0.000000027,0.00000009,0.996178344,0,0
6.40621E-11,0.000000102,0.000000191,0.994708476,0,0
1.27463E-10,0.000000255,0.000000381,0.993140617,0,0
3.33263E-10,0.000001023,0.000000996,0.989906908,0,0
6.5444E-10,0.000002546,0.000001956,0.986771191,0,0
1.78951E-9,0.000010042,0.000005348,0.98089172,0,0
3.20737E-9,0.000025154,0.000009586,0.974914258,0,0
4.74657E-9,0.000050155,0.000014186,0.968740813,0,0
6.67158E-9,0.000100625,0.000019939,0.960117589,0,0
1.118E-8,0.00025025,0.000033413,0.943459089,0,0
1.62989E-8,0.00050102,0.000048711,0.925624694,0,0
2.5015E-8,0.001001821,0.000074759,0.901616854,0,0
4.5817E-8,0.002501369,0.000136924,0.859382656,0,0
7.68488E-8,0.00500326,0.000229651,0.819206271,0,0
1.36996E-7,0.010001065,0.000409355,0.772268496,0,0
3.23622E-7,0.025023769,0.000966741,0.703870652,0,0
6.46238E-7,0.0500612,0.001929542,0.651249388,0,0
1.39683E-6,0.100128732,0.004166008,0.600489956,0.004385965,0
2.97344E-6,0.20005976,0.008847318,0.553650171,0.004385965,0
4.32726E-6,0.300227051,0.012849582,0.526408623,0.004385965,0
5.82925E-6,0.400107403,0.017270964,0.507202352,0.004385965,0
7.47783E-6,0.500211748,0.022101067,0.492503675,0.004385965,0
8.86378E-6,0.600493346,0.026143313,0.480450759,0.00877193,0
1.01093E-5,0.700929261,0.029761611,0.470063694,0.00877193,0
1.07194E-5,0.750774037,0.031529142,0.465360118,0.00877193,0
1.14732E-5,0.800776728,0.033708632,0.460950514,0.00877193,0
1.28694E-5,0.901093767,0.037732326,0.452817246,0.00877193,0
1.39889E-5,1.00065588,0.040946642,0.445565899,0.00877193,0
1.51489E-5,1.101276038,0.04426575,0.438804508,0.00877193,0
1.61189E-5,1.201085803,0.047032409,0.432533072,0.00877193,0
1.72696E-5,1.301437361,0.050304094,0.426653601,0.00877193,0
1.82477E-5,1.401055329,0.053076269,0.421166095,0.00877193,0
1.93115E-5,1.500553578,0.056082232,0.415972562,0.00877193,0
2.17844E-5,1.750139615,0.063032607,0.404017638,0.013157895,0
2.40158E-5,2.002236779,0.06926065,0.393238609,0.013157895,0
2.65473E-5,2.250174276,0.076275849,0.383635473,0.013157895,0
2.93394E-5,2.500662761,0.083951837,0.374816267,0.013157895,0
3.21106E-5,2.752177127,0.091507655,0.36678099,0.013157895,0
3.50107E-5,3.00009488,0.099347842,0.359529642,0.013157895,0
3.79411E-5,3.251881258,0.107201417,0.352768251,0.013157895,0
4.09189E-5,3.503341218,0.115111822,0.346496815,0.013157895,0
4.454E-5,3.75131751,0.124636831,0.340813327,0.013157895,0.01754386
4.72885E-5,4.003775626,0.131797981,0.335423812,0.013157895,0.01754386
4.92631E-5,4.250095717,0.136906618,0.330426262,0.013157895,0.01754386
5.1508E-5,4.502106398,0.142677865,0.325526703,0.013157895,0.01754386
5.43496E-5,4.751267277,0.149928183,0.320921117,0.01754386,0.01754386
5.70394E-5,5.001860173,0.156734462,0.316511514,0.021929825,0.01754386
5.95734E-5,5.25232153,0.163096586,0.312297893,0.021929825,0.035087719
6.14054E-5,5.505870375,0.167666382,0.308182264,0.021929825,0.035087719
6.38339E-5,5.75526533,0.173685646,0.304262616,0.026315789,0.035087719
6.64783E-5,6.001937511,0.180190539,0.300538951,0.035087719,0.052631579
6.90705E-5,6.253644207,0.186517275,0.296913278,0.035087719,0.052631579
7.16786E-5,6.500020857,0.192833507,0.293483586,0.039473684,0.070175439
7.47129E-5,6.756124163,0.200120355,0.290053895,0.043859649,0.070175439
7.67611E-5,7.005932612,0.205001846,0.286820186,0.043859649,0.070175439
7.90856E-5,7.255379453,0.210505633,0.283684468,0.048245614,0.070175439
8.18252E-5,7.505402934,0.216943557,0.280646742,0.048245614,0.070175439
8.40029E-5,7.754499576,0.222023383,0.277707006,0.048245614,0.070175439
8.63275E-5,8.001684634,0.227409824,0.274865262,0.052631579,0.070175439
8.87059E-5,8.255418289,0.232882169,0.272023518,0.052631579,0.087719298
9.17131E-5,8.507638079,0.239745838,0.269279765,0.052631579,0.087719298
9.3577E-5,8.757718672,0.243969083,0.266634003,0.052631579,0.087719298
9.53619E-5,9.003357225,0.247991429,0.264086232,0.052631579,0.087719298
9.83483E-5,9.255641277,0.254673503,0.261538462,0.057017544,0.087719298
1.01312E-4,9.505121113,0.261245194,0.259088682,0.057017544,0.087719298
1.03968E-4,9.75150787,0.26708692,0.256736894,0.057017544,0.087719298
1.06575E-4,10.004980109,0.272775754,0.254385105,0.057017544,0.105263158
1.08626E-4,10.252889326,0.277219795,0.252131308,0.061403509,0.122807018
1.11947E-4,10.506395474,0.284358369,0.249877511,0.061403509,0.122807018
