Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.41391E-12,0.000000001,0.000000007,0.997746865,0,0
4.27733E-12,0.000000003,0.000000013,0.997257053,0,0
1.43486E-11,0.000000011,0.000000043,0.996277429,0,0
2.45621E-11,0.000000025,0.000000074,0.995591693,0,0
6.30079E-11,0.000000106,0.00000019,0.99382837,0,0
1.13777E-10,0.00000026,0.000000343,0.992163009,0,0
2.93872E-10,0.000001029,0.000000887,0.988244514,0,0
5.92236E-10,0.000002549,0.000001787,0.984815831,0,0
1.42641E-9,0.00001006,0.000004304,0.977664577,0,0
2.46959E-9,0.000025086,0.000007452,0.970219436,0,0
3.65135E-9,0.000050165,0.000011018,0.96218652,0,0
5.26027E-9,0.000100336,0.000015873,0.951116771,0,0
9.46267E-9,0.000250446,0.000028553,0.930740596,0,0
1.39683E-8,0.000501008,0.000042148,0.909286834,0,0
2.31419E-8,0.001000683,0.000069827,0.882249216,0,0
4.38185E-8,0.002501259,0.000132211,0.836892633,0,0
7.59537E-8,0.005001573,0.000229161,0.795062696,0,0
1.36261E-7,0.010003652,0.000411076,0.747355016,0,0
3.37336E-7,0.02502134,0.001017379,0.679956897,0,0
6.8658E-7,0.050056571,0.002069579,0.630387931,0,0
1.52403E-6,0.100084728,0.004588125,0.583268025,0,0
3.15064E-6,0.200048409,0.009461871,0.539674765,0.004385965,0
4.83133E-6,0.300113899,0.014472576,0.514890282,0.004385965,0
6.55632E-6,0.400375221,0.019588972,0.49755094,0.004385965,0
8.52823E-6,0.500167181,0.025405267,0.484619906,0.004385965,0.01754386
1.00571E-5,0.600698771,0.029891054,0.474039969,0.004385965,0.01754386
1.15692E-5,0.700534057,0.034307233,0.465027429,0.004385965,0.01754386
1.23499E-5,0.750991,0.03657952,0.460913009,0.004385965,0.01754386
1.30204E-5,0.800414699,0.03852679,0.457092476,0.004385965,0.01754386
1.44436E-5,0.900460736,0.042646778,0.449941223,0.004385965,0.01754386
1.54486E-5,1.000444788,0.045545519,0.443377743,0.004385965,0.01754386
1.64927E-5,1.101306866,0.048547862,0.437206113,0.004385965,0.01754386
1.74052E-5,1.201307601,0.051164188,0.431426332,0.004385965,0.01754386
