Predictor variable,Categorical,Sample average
wc2.0_bio_10m_01,false,17.704021541695845
wc2.0_bio_10m_04,false,449.059139251709
wc2.0_bio_10m_12,false,1160.2543859649122
wc2.0_bio_10m_14,false,44.75
wc2.0_bio_10m_15,false,44.48565733641909
bias_avg,false,1.4319055417856137E-4
