X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
18.625,-34.125,train,3.3042048181047937E-4,41.27824272345638,0.6310257883002275
18.86667,-33.5,train,2.958337679025839E-4,36.121866018332675,0.5904370709235793
19.16861,-33.9469,train,3.248530084360728E-4,40.508675056516665,0.6247748116307968
20.5052795410156,-34.0316696166992,train,3.1403798594473897E-4,38.77831661019236,0.6123277840539612
20.70417,-33.9772,train,2.7816857846924367E-4,33.49748774592488,0.5680134486278365
20.8330593109131,-34.040828704834,train,3.1841342861712907E-4,39.50587929270262,0.6174124628489916
22.5488891601563,-33.9908294677734,train,3.231544656874012E-4,40.181545733424905,0.6228467429342104
26.45472,-25.0003,train,7.585646455999029E-5,6.892371580464628,0.20458665928390363
26.905,-31.7816,train,2.984153077135869E-4,36.49997604414385,0.5936150401069686
27.09028,-27.5458,train,2.1141722983075386E-4,26.06443242376365,0.47162113991409593
27.94778,-24.3097,train,1.284417593175676E-4,12.749762133901948,0.32129388759580035
27.96361,-24.3388,train,1.784252576126183E-4,20.27981227554183,0.4163127462544065
28.125,-32.875,train,2.734611343871209E-4,33.01953960314641,0.5618335103489867
28.2693,-24.372,train,1.752115576038976E-4,19.714323540775407,0.41062508678281917
28.2939,-23.9013,train,1.3085232321263836E-4,13.06147740594581,0.32621272549497593
28.75917,-25.7875,train,2.463410512843532E-4,30.278643001084305,0.5244687747036278
29.33111,-28.5269,train,4.474183618275016E-4,57.0785784688646,0.7407763864635757
29.34833,-29.5211,train,3.038581005169576E-4,37.44352429145716,0.60023474519592
29.36917,-29.7255,train,3.068682199999713E-4,37.789560895682,0.6038493312621618
29.405,-30.5066,train,4.074879580257596E-4,51.13151978117575,0.7075834844753102
29.40722,-29.0486,train,4.1378202337089915E-4,51.78958644780281,0.7130846691432726
29.41,-28.5416,train,3.803450909238522E-4,47.924955415104876,0.6826257886051856
29.45472,-29.8383,train,3.13821917828644E-4,38.736290448933474,0.612074948835991
29.51056,-28.8288,train,3.1931685127213036E-4,39.63511395051696,0.6184539900155877
29.5125,-29.2375,train,3.8552496532019226E-4,48.50214819065161,0.6875477917792518
29.525,-29.8511,train,4.2909531216238345E-4,54.26133487986727,0.7260405734893521
29.52778,-28.5269,train,3.2284162395384343E-4,40.094714194373445,0.622490547646549
29.54445,-29.475,train,2.5855063612756395E-4,31.359537736789875,0.5416694308317027
29.55389,-29.6636,train,4.343704790377152E-4,55.344978849126896,0.7303668194057744
29.67111,-28.2502,train,3.86358622307748E-4,48.58070105267349,0.6883327842518551
29.68611,-29.6419,train,4.350275959575221E-4,55.48883492162555,0.7309009237556523
29.6875,-29.9077,train,5.237531342682914E-4,66.75703294788146,0.7941074530382134
29.705,-29.0069,train,4.393940719409046E-4,56.104529198264125,0.7344232209235099
29.71278,-29.3169,train,3.29538840753735E-4,41.129934509306196,0.6300428952811417
29.74195,-29.4763,train,3.599878284792394E-4,45.71313215255614,0.6625191886954064
29.84639,-29.4072,train,4.15780535471903E-4,52.175470639814584,0.714809681973752
29.85333,-29.988,train,5.353817595655364E-4,68.13372615409384,0.8012067028881601
29.86111,-29.6225,train,4.910657607831259E-4,62.27534079404666,0.7727644706155973
29.88305,-30.2336,train,4.937972085180647E-4,62.61064005415089,0.7746296527739432
29.93805,-30.0377,train,5.284559824780315E-4,67.32654733345613,0.797008564396043
29.95389,-29.6944,train,4.587279973716072E-4,58.77287583164367,0.7494734858917472
29.9846,-31.264,train,2.2273535338656825E-4,27.578687566569986,0.48936162942826167
29.99278,-29.2794,train,3.369834561941637E-4,42.2897148970631,0.6382608822240416
30.05,-26.4,train,2.9258609275503543E-4,35.72246880738445,0.5864037427207485
30.07972,-27.175,train,2.2412541220304517E-4,27.706903589921797,0.4914989848793162
29.9166666666667,-31.4166666666667,train,1.8812727004774598E-4,22.222291279142368,0.433152708042989
30.19,-27.0927,train,3.534206108555356E-4,44.532713254846286,0.6557648743120719
30.29194,-27.2147,train,3.574770886627935E-4,45.24585672304895,0.659952710536617
30.34695,-25.7927,train,4.605384748819921E-4,59.06727040669214,0.7508383886484521
30.35,-27.0833,train,4.0529431464510093E-4,50.66294209614129,0.7056414958377035
30.36667,-26.7666,train,4.078886564181527E-4,51.20369295967619,0.7079368283744224
30.375,-30.875,train,1.662966234434436E-4,18.493115011566175,0.39455549472341445
30.4,-26.3833,train,3.905327593052589E-4,49.17639713090627,0.6922336974518394
30.45083,-27.2888,train,4.2191015902352536E-4,53.289035590107495,0.7200360389550011
30.51889,-25.26611,train,5.0583248399494E-4,63.99958215032547,0.7826673455596115
30.54167,-27.7333,train,4.560032752697248E-4,58.21485637817435,0.7474052356629277
30.56417,-29.3716,train,4.939018597212759E-4,62.643862901681274,0.7747008090242232
30.57472,-25.8908,train,2.97263682704882E-4,36.28056336873627,0.5922004059599841
30.575,-27.9166,train,4.294834064176887E-4,54.36893630774903,0.7263612076709788
30.586669921875,-29.2224998474121,train,5.298328352902118E-4,67.54713914210082,0.7978501610669129
30.6,-27.3416,train,4.331809685856761E-4,55.15029369659834,0.7293972880515309
30.63333,-27.3166,train,4.445976329828906E-4,56.717324948673586,0.7385606093860035
30.675,-27.3416,train,4.384258773757031E-4,55.9168282873767,0.733646208595284
30.675,-27.2177,train,4.281455577685868E-4,54.095454993496546,0.7252543235211197
30.70833,-27.675,train,4.5052528360384404E-4,57.45682802898739,0.7431952498413967
30.725,-27.875,train,4.1800519849571183E-4,52.69303335555842,0.7167177013588969
30.88333,-28.1,train,3.729351531779871E-4,47.24017268285145,0.675449645506218
