X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
18.375,-33.875,train,4.432690731343858E-4,58.66048091947731,0.747742070253155
18.86667,-33.5,train,3.0591922366047955E-4,38.877055114732926,0.6134664837690142
18.9625,-34.0272,train,5.689469477476774E-4,73.35103758324811,0.8292923957247385
18.96917,-33.7508,train,3.994958486556198E-4,51.91490248318457,0.7109897837031143
20.70417,-33.9772,train,2.0072963161544345E-4,24.862053785697494,0.4640406345920327
20.8330593109131,-34.040828704834,train,2.4783776530216826E-4,31.036203379692985,0.5370188486489937
22.5488891601563,-33.9908294677734,train,2.328164493895563E-4,29.057674192345694,0.5148976913081069
26.84206,-32.9068,train,4.0021475600946133E-4,52.12900144081602,0.7116346404946459
26.905,-31.7816,train,3.2158239042245684E-4,40.87209613799493,0.6318277924062806
27.09028,-27.5458,train,2.152678694090711E-4,26.848980095995874,0.48771256079503034
27.94778,-24.3097,train,1.1337890643143071E-4,10.769333087074326,0.2969204166099362
27.96361,-24.3388,train,1.619546636525109E-4,18.259473722123438,0.39541760625568256
28.125,-32.875,train,2.8869954102306257E-4,36.354645916626616,0.5922220825760527
28.18111,-30.0219,train,1.7022395740937061E-4,20.00650482970501,0.4107538363533193
28.2693,-24.372,train,1.6083390344017067E-4,18.08320365139898,0.3933085569792891
28.2939,-23.9013,train,1.202855204491101E-4,11.659983695853514,0.31184767917296585
28.75917,-25.7875,train,2.4911574629271E-4,31.255677319603457,0.5388536449021578
29.33111,-28.5269,train,4.5677106825063867E-4,60.16714219584521,0.7581060564473318
29.36917,-29.7255,train,2.9472213618223034E-4,37.2135339154781,0.5997819178473851
29.405,-30.5066,train,4.2857697622223056E-4,56.242990572635165,0.7359594649448146
29.40722,-29.0486,train,4.297050325244415E-4,56.48435102687444,0.7368833173906078
29.41,-28.5416,train,3.914490367072188E-4,50.68535368820103,0.7036726711632242
29.44917,-31.6475,train,2.7280308584022665E-4,34.12036654776665,0.5715751405249727
29.45472,-29.8383,train,3.0314160188671353E-4,38.456506430424504,0.6101160748258091
29.51056,-28.8288,train,3.2895053224264617E-4,42.02682887818866,0.6401609430237154
29.5125,-29.2375,train,3.934075019900032E-4,50.97501082340974,0.7054704198473934
29.525,-29.8511,train,4.298878879798429E-4,56.53307702126346,0.7370327670942756
29.525,-29.7488,train,3.30587209476782E-4,42.20428879850738,0.6419862236686713
29.52778,-28.5269,train,3.341590737762397E-4,42.61918097065354,0.6459376061472192
29.54445,-29.475,train,2.607628463037094E-4,32.61521872061643,0.5552438354204291
29.55389,-29.6636,train,4.421953423380139E-4,58.51930157068593,0.746899071341782
29.59972,-30.858,train,6.688928176670862E-4,81.25897240963262,0.8748634628937583
29.61083,-28.8658,train,3.7092537956368894E-4,48.03657545597353,0.6841603176098492
29.67111,-28.2502,train,4.1203119445827466E-4,53.50861910007446,0.7220300964459743
29.6875,-29.9077,train,5.529354438908178E-4,72.0696249618429,0.8205848652560597
29.75528,-28.9755,train,3.493909085752113E-4,45.113358895622994,0.6623041741455147
29.84639,-29.4072,train,4.332643407374142E-4,57.26539610217851,0.7397771727326259
29.85333,-29.988,train,5.797738517467937E-4,74.55269540680662,0.8349396162002599
29.86111,-29.6225,train,5.208006079558338E-4,68.22042368423844,0.8017458007806892
29.88305,-30.2336,train,5.403338384707147E-4,70.73528999884354,0.8134205080677274
29.93805,-30.0377,train,5.74643857117631E-4,73.8314332878461,0.8322875294152763
29.9846,-31.264,train,2.5602409605018103E-4,32.01416771211348,0.5486467954270231
30.02889,-30.2466,train,6.016494252167585E-4,76.5032065145237,0.8457860850189434
30.0725,-30.1461,train,5.7788305073134E-4,74.26311649157823,0.8339670321073412
30.1069393157959,-29.454439163208,train,5.230948223879768E-4,68.50812853308831,0.8031540240453507
29.9166666666667,-31.4166666666667,train,2.115547943832907E-4,26.479295115320344,0.48176803514476385
30.1525,-29.5944,train,5.697784730427575E-4,73.46627217393488,0.8297328791139573
30.19,-27.0927,train,3.7040543328972786E-4,47.98628227209205,0.6836496501982974
30.20083,-29.4855,train,5.238556741328471E-4,68.63819597290927,0.8036188340310529
30.29194,-27.2147,train,3.7920245724324753E-4,49.26998074234168,0.6921795573282352
30.34695,-25.7927,train,4.8513318435165125E-4,64.02138550270753,0.7785107508991015
30.35,-27.0833,train,4.392805884674256E-4,58.11256891375713,0.7445964324227583
30.35194,-29.8,train,5.027689347782818E-4,66.00027519247547,0.7903211358016058
30.36667,-26.7666,train,4.337628452081287E-4,57.49283254381251,0.7401799271074174
30.375,-30.875,train,1.8693210028677162E-4,22.767841534813417,0.4405638860724379
30.4,-26.3833,train,4.1475562845445075E-4,53.889160067972675,0.7243732420897295
30.42167,-30.7816,train,1.9384249243389849E-4,23.924046520784366,0.4524478452435732
30.43361,-29.4361,train,4.148943613399945E-4,53.909624364453066,0.7244920291993467
30.45083,-27.2888,train,4.5334719527634923E-4,59.75193045282784,0.7555189343570958
30.56417,-29.3716,train,5.484122050078265E-4,71.60815925656111,0.8180454942079372
30.57472,-25.8908,train,3.27998953344456E-4,41.87844631794618,0.6390954332947968
30.575,-27.9166,train,4.7155374043034425E-4,62.27299582352178,0.7689654166001764
30.586669921875,-29.2224998474121,train,5.89443683202916E-4,75.43276865068823,0.8398251935002885
30.6,-27.3416,train,4.753586465714688E-4,62.777359957451075,0.7716807201487474
30.63333,-27.3166,train,4.89285318268274E-4,64.63156463480263,0.7813498964205321
30.675,-27.3416,train,4.842057751777041E-4,63.921990796849244,0.777871587290878
30.675,-27.2177,train,4.6863037206035105E-4,62.021234063257246,0.766857290557987
30.70833,-27.675,train,4.947236940140465E-4,65.25245047125722,0.7850135707721608
30.725,-27.875,train,4.6261844588149084E-4,61.01636416257926,0.7624612649596191
30.74167,-27.6166,train,4.961114719232734E-4,65.41206657342468,0.7859386035603227
30.88333,-28.1,train,4.1849726701688537E-4,54.505643757493864,0.7275590769376757
30.9,-27.3,train,4.286890547315575E-4,56.28554129822948,0.7360513996424249
30.90833,-27.9083,train,4.623009470720543E-4,60.91461458549891,0.7622268135235308
30.90833,-27.7916,train,5.044524920535169E-4,66.23180658935209,0.7914151154814225
