variable,x,y
popDens,-1546.61142578125,1.326083147432655E-4
popDens,-1509.4927515625002,1.326083147432655E-4
popDens,-1472.37407734375,1.326083147432655E-4
popDens,-1435.2554031250002,1.326083147432655E-4
popDens,-1398.13672890625,1.326083147432655E-4
popDens,-1361.0180546875001,1.326083147432655E-4
popDens,-1323.89938046875,1.326083147432655E-4
popDens,-1286.78070625,1.326083147432655E-4
popDens,-1249.66203203125,1.326083147432655E-4
popDens,-1212.5433578125,1.326083147432655E-4
popDens,-1175.4246835937502,1.326083147432655E-4
popDens,-1138.306009375,1.326083147432655E-4
popDens,-1101.18733515625,1.326083147432655E-4
popDens,-1064.0686609375,1.326083147432655E-4
popDens,-1026.94998671875,1.326083147432655E-4
popDens,-989.8313125,1.326083147432655E-4
popDens,-952.71263828125,1.326083147432655E-4
popDens,-915.5939640625,1.326083147432655E-4
popDens,-878.47528984375,1.326083147432655E-4
popDens,-841.3566156249999,1.326083147432655E-4
popDens,-804.23794140625,1.326083147432655E-4
popDens,-767.1192671875,1.326083147432655E-4
popDens,-730.0005929687499,1.326083147432655E-4
popDens,-692.88191875,1.326083147432655E-4
popDens,-655.7632445312499,1.326083147432655E-4
popDens,-618.6445703124999,1.326083147432655E-4
popDens,-581.52589609375,1.326083147432655E-4
popDens,-544.4072218749999,1.326083147432655E-4
popDens,-507.2885476562499,1.326083147432655E-4
popDens,-470.1698734375,1.326083147432655E-4
popDens,-433.05119921874984,1.326083147432655E-4
popDens,-395.93252499999994,1.326083147432655E-4
popDens,-358.8138507812498,1.326083147432655E-4
popDens,-321.6951765624999,1.326083147432655E-4
popDens,-284.57650234375,1.326083147432655E-4
popDens,-247.45782812499988,1.326083147432655E-4
popDens,-210.33915390624998,1.326083147432655E-4
popDens,-173.22047968749985,1.326083147432655E-4
popDens,-136.10180546874972,1.326083147432655E-4
popDens,-98.98313125000004,1.326083147432655E-4
popDens,-61.86445703124991,1.326083147432655E-4
popDens,-24.745782812499783,1.326083147432655E-4
popDens,12.372891406250119,1.3320709695108235E-4
popDens,49.49156562500025,1.3501447392627597E-4
popDens,86.61023984375038,1.3683836732525378E-4
popDens,123.72891406250005,1.3867882080376148E-4
popDens,160.84758828125018,1.4053581980988383E-4
popDens,197.96626250000008,1.4240937889553607E-4
popDens,235.0849367187502,1.4429948350880295E-4
popDens,272.20361093750034,1.4620614820159972E-4
popDens,309.32228515625025,1.4812935842201114E-4
popDens,346.44095937500015,1.500691141700372E-4
popDens,383.55963359375005,1.5202538634184748E-4
popDens,420.6783078125002,1.5399818948935717E-4
popDens,457.7969820312503,1.559874799568206E-4
popDens,494.9156562500002,1.5799324319232255E-4
popDens,532.0343304687503,1.6001545009203255E-4
popDens,569.1530046875,1.620541006559506E-4
popDens,606.2716789062501,1.641091366764158E-4
popDens,643.3903531250003,1.661805436015129E-4
popDens,680.5090273437504,1.6826826322358102E-4
popDens,717.6277015625005,1.703722809907049E-4
popDens,754.7463757812502,1.724925241433084E-4
popDens,791.8650500000003,1.746289781294763E-4
