"name","decimalLongitude","decimalLatitude"
"Paspalum urvillei",-95.9226,29.92745
"Paspalum urvillei",-95.4485,29.75903
"Paspalum urvillei",-95.28561,30.02738
"Paspalum urvillei",-95.92356,29.92737
"Paspalum urvillei",-95.22487,29.43931
"Paspalum urvillei",-94.95767,29.42588
"Paspalum urvillei",-96.01487,30.20341
"Paspalum urvillei",-95.22487,29.43931
"Paspalum urvillei",-93.23262,30.59954
"Paspalum urvillei",-95.44815,29.66301
"Paspalum urvillei",-94.95143,29.46051
"Paspalum urvillei",-95.44856,29.75655
"Paspalum urvillei",-96.54572,28.9568
"Paspalum urvillei",-95.40072,29.71411
"Paspalum urvillei",-95.65967,30.53502
"Paspalum urvillei",-88.18471,30.69855
"Paspalum urvillei",-94.7543,32.49473
"Paspalum urvillei",-95.11825,29.5643
"Paspalum urvillei",-96.46975,32.95288
"Paspalum urvillei",-95.40181,29.76088
"Paspalum urvillei",-94.74321,32.51102
"Paspalum urvillei",-95.42809,29.76316
"Paspalum urvillei",-90.13284,34.10232
"Paspalum urvillei",-156.2988,20.82979
"Paspalum urvillei",-95.28496,30.02153
"Paspalum urvillei",-86.22043,32.41499
"Paspalum urvillei",121.6135,25.04465
"Paspalum urvillei",-95.45018,29.79403
"Paspalum urvillei",-77.09677,34.93622
"Paspalum urvillei",-95.4365,29.78422
"Paspalum urvillei",-90.14626,33.78553
"Paspalum urvillei",-94.9699,29.3525
"Paspalum urvillei",-52.48583,-30.32455
"Paspalum urvillei",-53.71639,-27.02528
"Paspalum urvillei",-97.7424,30.26062
"Paspalum urvillei",-95.80194,29.52222
"Paspalum urvillei",-95.22487,29.43931
"Paspalum urvillei",-97.29249,30.10667
"Paspalum urvillei",-94.74297,29.82507
"Paspalum urvillei",-95.79264,30.03703
"Paspalum urvillei",-96.01542,30.20301
"Paspalum urvillei",-95.16472,30.11406
"Paspalum urvillei",150.6374,-33.93566
"Paspalum urvillei",-95.16471,29.8789
"Paspalum urvillei",22.40754,-33.97049
"Paspalum urvillei",-95.67169,30.30227
"Paspalum urvillei",-95.50036,29.6366
"Paspalum urvillei",-97.76193,30.46085
"Paspalum urvillei",-95.16001,29.86099
"Paspalum urvillei",117.8707,-22.11475
"Paspalum urvillei",-94.9382,29.3349
"Paspalum urvillei",-97.26946,30.07247
"Paspalum urvillei",-97.22017,32.66257
"Paspalum urvillei",-80.1811,32.56665
"Paspalum urvillei",-97.7639,30.456
"Paspalum urvillei",150.6444,-33.82627
"Paspalum urvillei",-96.73461,33.12526
"Paspalum urvillei",-95.28583,30.0275
"Paspalum urvillei",-95.44752,29.67714
"Paspalum urvillei",-87.6329,30.26029
"Paspalum urvillei",-97.44866,30.13331
"Paspalum urvillei",150.9046,-33.7545
"Paspalum urvillei",-95.3916,29.71834
"Paspalum urvillei",151.2846,-33.68408
"Paspalum urvillei",150.8782,-34.48676
"Paspalum urvillei",-95.88879,31.9329
"Paspalum urvillei",-95.47203,29.65541
"Paspalum urvillei",-117.2059,32.91095
"Paspalum urvillei",-95.15955,29.86034
"Paspalum urvillei",-95.55156,30.12663
"Paspalum urvillei",-95.44691,29.66026
"Paspalum urvillei",-82.3894,28.135
"Paspalum urvillei",-99.45399,30.56925
"Paspalum urvillei",-82.44297,29.98005
"Paspalum urvillei",-98.15657,30.47605
"Paspalum urvillei",-82.44297,29.98005
"Paspalum urvillei",-82.44297,29.98005
"Paspalum urvillei",-101.0276,29.4789
"Paspalum urvillei",-82.44297,29.98005
"Paspalum urvillei",-82.44297,29.98005
"Paspalum urvillei",-97.13535,30.09372
"Paspalum urvillei",30.74883,-30.28098
"Paspalum urvillei",151.6324,-32.7805
"Paspalum urvillei",151.0277,-33.81281
"Paspalum urvillei",174.472,-36.87213
"Paspalum urvillei",151.0456,-33.71255
"Paspalum urvillei",152.4718,-31.89393
"Paspalum urvillei",151.0456,-33.71228
"Paspalum urvillei",152.83,-28.67
"Paspalum urvillei",152.1203,-32.75105
"Paspalum urvillei",151.6256,-32.7822
"Paspalum urvillei",151.4633,-33.40462
"Paspalum urvillei",150.737,-33.76779
"Paspalum urvillei",152.4718,-31.89212
"Paspalum urvillei",153.183,-29.18916
"Paspalum urvillei",151.0054,-33.76895
"Paspalum urvillei",151.5724,-33.17685
"Paspalum urvillei",151.4016,-33.32922
"Paspalum urvillei",151.2812,-33.84056
"Paspalum urvillei",152.9087,-30.91187
"Paspalum urvillei",151.2117,-33.70348
"Paspalum urvillei",151.2922,-33.49437
"Paspalum urvillei",151.4019,-33.32941
"Paspalum urvillei",151.2812,-33.84056
"Paspalum urvillei",151.0306,-33.70152
"Paspalum urvillei",-49.2375,-25.44361
"Paspalum urvillei",151.3974,-33.33048
"Paspalum urvillei",151.3986,-33.32901
"Paspalum urvillei",151.2927,-33.49456
"Paspalum urvillei",175.231,-37.2612
"Paspalum urvillei",152.7641,-31.63137
"Paspalum urvillei",151.2113,-33.70096
"Paspalum urvillei",150.5887,-34.22226
"Paspalum urvillei",175.231,-37.2612
"Paspalum urvillei",151.4016,-33.32922
"Paspalum urvillei",151.2433,-33.75237
"Paspalum urvillei",150.9465,-33.69252
"Paspalum urvillei",174.7406,-36.81408
"Paspalum urvillei",151.226,-33.75151
"Paspalum urvillei",151.2341,-33.75183
"Paspalum urvillei",28.2778,-25.77495
"Paspalum urvillei",152.5169,-32.20391
"Paspalum urvillei",152.5163,-32.2033
"Paspalum urvillei",151.2261,-33.7523
"Paspalum urvillei",152.5133,-32.20112
